"","new.ID","Latitude","Longitude","groups","nitrogen","sand","cec","soc","phh2o","silt"
"4828.5","NEF_GloFung-its2_791_2013",-4.8793,-73.6479,118,379,194,245,795,42,435
"4824.6","NEF_GloFung-its2_788_2013",-4.8997,-73.6299,118,350,237,218,807,42,406
"4825.8","NEF_GloFung-its2_789_2013",-4.1291,-73.4707,76,330,287,211,1008,45,379
"4824.7","NEF_GloFung-its2_788_2013",-4.8997,-73.6299,118,350,237,218,807,42,406
"4836.6","NEF_GloFung-its2_793_2013",-3.9758,-73.427,76,313,285,179,889,45,383
"4836.7","NEF_GloFung-its2_793_2013",-3.9758,-73.427,76,313,285,179,889,45,383
"4827.5","NEF_GloFung-its2_790_2013",-3.833,-73.5979,76,301,327,207,586,46,367
"4845.6","NEF_GloFung-its2_794_2013",-4.9336,-73.7221,118,355,236,187,776,43,454
"4836.8","NEF_GloFung-its2_793_2013",-3.9758,-73.427,76,313,285,179,889,45,383
"4836.9","NEF_GloFung-its2_793_2013",-3.9758,-73.427,76,313,285,179,889,45,383
"4828.6","NEF_GloFung-its2_791_2013",-4.8793,-73.6479,118,379,194,245,795,42,435
"4824.8","NEF_GloFung-its2_788_2013",-4.8997,-73.6299,118,350,237,218,807,42,406
"4831.6","NEF_GloFung-its2_792_2013",-3.8918,-73.5603,76,327,401,197,682,45,315
"4824.9","NEF_GloFung-its2_788_2013",-4.8997,-73.6299,118,350,237,218,807,42,406
"4898","NEF_GloFung-its2_796_2017",5.302186111,-53.04910278,12,445,293,189,630,47,364
"4899","NEF_GloFung-its2_797_2017",5.543888889,-53.49694444,148,412,339,199,568,47,344
"4898.1","NEF_GloFung-its2_796_2017",5.302186111,-53.04910278,12,445,293,189,630,47,364
"4901","NEF_GloFung-its2_798_2017",5.473611111,-53.58083333,148,398,399,195,618,44,246
"4902","NEF_GloFung-its2_799_2017",5.28,-52.91793333,12,428,328,175,599,48,337
"4903","NEF_GloFung-its2_800_2017",5.066388889,-52.68472222,12,487,304,235,635,46,391
"4904","NEF_GloFung-its2_801_2017",5.471666667,-53.57722222,148,438,418,186,673,45,241
"4898.2","NEF_GloFung-its2_796_2017",5.302186111,-53.04910278,12,445,293,189,630,47,364
