new.ID,SampleID,latitud,longitud,area,pais,estado  ,localidad,submuestras,area_m2,ultimo_incendio,fecha de colecta,bioma,bioregion,ecoregion,nativeness,advertencia,delta15N,N_conc_g_kg,P_conc_mg_kg,abund,riqueza,mold_Eurotiales_Abundance,mold_Mortierellales_Abundance,mold_Mucorales_Abundance,mold_Trichoderma_Abundance,mold_Umbelopsidales_Abundance
AtlasMXA_S532_2025,S532,20.2,-87.48,Mexico:Cancun:Tulum,México,Quintana Roo,"La Veleta, Tulum",40,2500,100,42256,forest: subtropical broadleaf forest biome,Yucatan & Veracruz Mixed Forests Bioregion,Yucatan Moist Forests,,,1.563484805,22.70080935,16.71852843,3068,517,0.521512386,0.130378096,0.097783572,1.075619296,0
AtlasMXA_S657_2025,S657,25.22,-100.39,Mexico:Coahuila:Iontananza,México,Coahuila,Los Oyameles,40,2500,100,42424,forest: subtropical coniferous forest biome,Sierra Madre Forests and Mexican Drylands Bioregion,Sierra Madre Oriental Pine-Oak Forests,,,1.036984136,5.648648189,24.04394667,5045,1136,3.131813677,3.885034688,2.140733399,0.376610505,7.115956392
AtlasMXA_S658_2025,S658,24.02,-100.25,Mexico:Nuevo León:Presa San Antonio,México,Nuevo León,Refugio de Cedillo,40,2500,100,42425,forest: subtropical coniferous forest biome,Sierra Madre Forests and Mexican Drylands Bioregion,Meseta central Matorral,,,5.267166188,4.379789105,6.956576392,9064,1739,1.301853486,10.46999117,1.048102383,0.19858782,0
AtlasMXA_S659_2025,S659,25.25,-100.91,Mexico:Coahuila:Jahuey,México,Coahuila,Cuauhtémoc,40,2500,100,42412,forest: subtropical coniferous forest biome,Sierra Madre Forests and Mexican Drylands Bioregion,Chihuahuan desert,,,0.63256457,7.57546717,6.603689636,4300,855,0.720930233,1.023255814,0.069767442,0.604651163,0.418604651
AtlasMXA_S660_2025,S660,25.25,-100.85,Mexico:Coahuila:Chapultepec,México,Coahuila,Chapultepec,40,2500,100,42428,forest: subtropical coniferous forest biome,Sierra Madre Forests and Mexican drylands bioregion,Sierra Madre Oriental Pine-Oak Forests,,,2.607379305,5.051111423,0.545170591,7971,1308,3.838916071,1.505457283,0.087818341,0.087818341,0.037636432
AtlasMXA_S661_2025,S661,25.25,-100.93,Mexico:Coahuila:Jahuey,México,Coahuila,Cuauhtémoc,40,2500,100,42423,forest: subtropical coniferous forest biome,Sierra Madre Forests and Mexican Drylands Bioregion,Chihuahuan desert,,,4.86888438,7.138744309,39.29226396,7326,1087,1.405951406,1.829101829,0.15015015,0.163800164,0
AtlasMXA_S662_2025,S662,24.73,-100.11,Mexico:Nuevo León:Arroyo Colorado,México,Nuevo León,Arroyo Colorado,40,2500,100,42396,forest: subtropical coniferous forest biome,Sierra Madre Forests and Mexican drylands bioregion,Sierra Madre Oriental Pine-Oak Forests,,,2.843681008,5.01470552,9.157004785,2975,830,9.411764706,2.319327731,0.067226891,0.336134454,2.151260504
AtlasMXA_S663_2025,S663,25.35,-101.03,Mexico:Coahuila:Saltillo,México,Coahuila,Saltillo,40,2500,100,42418,forest: subtropical coniferous forest biome,Sierra Madre Forests and Mexican Drylands Bioregion,Chihuahuan desert,,,4.335620992,4.630316923,21.43063572,14267,2976,0.820074297,7.738136959,0.049064274,0.07009182,0.161211187
AtlasMXA_S664_2025,S664,24.75,-100.03,Mexico:Nuevo León:La Poza,México,Nuevo León,La Y de Arriba,40,2500,100,42427,forest: subtropical coniferous forest biome,Sierra Madre Forests and Mexican Drylands Bioregion,Sierra Madre Oriental Pine-Oak Forests,,,4.067415947,17.32449076,15.22482982,2008,76,4.033864542,0,0,6.175298805,0
AtlasMXA_S665_2025,S665,24.52,-99.98,Mexico:Nuevo León:Pablillo,México,Nuevo León,Pablillo,40,2500,100,42427,forest: subtropical broadleaf forest biome,Sierra Madre Forests and Mexican Drylands Bioregion,Sierra Madre Oriental Pine-Oak Forests,,,1.93961323,12.28113292,110.0923644,9101,2039,2.351389957,1.76903637,0.395560927,0.15382925,0.571365784
