"","new.ID","PermanentID"
"185","NEF_spun_Riz18_2025","Riz18"
"192","NEF_spun_Riz19_2025","Riz19"
"2011","NEF_spun_Riz20_2025","Riz20"
"165","NEF_mymo_MYMO1_2025","MYMO1"
"218","NEF_mymo_MYMO10_2025","MYMO10"
"312","NEF_mymo_MYMO11_2025","MYMO11"
"412","NEF_mymo_MYMO12_2025","MYMO12"
"512","NEF_mymo_MYMO13_2025","MYMO13"
"611","NEF_mymo_MYMO15_2025","MYMO15"
"712","NEF_mymo_MYMO16_2025","MYMO16"
"810","NEF_mymo_MYMO17_2025","MYMO17"
"910","NEF_mymo_MYMO18_2025","MYMO18"
"104","NEF_mymo_MYMO19_2025","MYMO19"
"1110","NEF_mymo_MYMO2_2025","MYMO2"
"1210","NEF_mymo_MYMO20_2025","MYMO20"
"1310","NEF_mymo_MYMO21_2025","MYMO21"
"1411","NEF_mymo_MYMO22_2025","MYMO22"
"1512","NEF_mymo_MYMO23_2025","MYMO23"
"166","NEF_mymo_MYMO24_2025","MYMO24"
"173","NEF_mymo_MYMO25_2025","MYMO25"
"186","NEF_mymo_MYMO26_2025","MYMO26"
"193","NEF_mymo_MYMO27_2025","MYMO27"
"2012","NEF_mymo_MYMO28_2025","MYMO28"
"219","NEF_mymo_MYMO29_2025","MYMO29"
"2211","NEF_mymo_MYMO3_2025","MYMO3"
"2310","NEF_mymo_MYMO30_2025","MYMO30"
"242","NEF_mymo_MYMO31_2025","MYMO31"
"252","NEF_mymo_MYMO32_2025","MYMO32"
"262","NEF_mymo_MYMO33_2025","MYMO33"
"272","NEF_mymo_MYMO34_2025","MYMO34"
"281","NEF_mymo_MYMO4_2025","MYMO4"
"291","NEF_mymo_MYMO5_2025","MYMO5"
"301","NEF_mymo_MYMO6_2025","MYMO6"
"313","NEF_mymo_MymoNS200_2025","MymoNS200"
"321","NEF_mymo_MymoNS202_2025","MymoNS202"
"331","NEF_mymo_MymoNS203_2025","MymoNS203"
"341","NEF_mymo_MymoNS204_2025","MymoNS204"
"351","NEF_mymo_MymoNS205_2025","MymoNS205"
"361","NEF_mymo_MymoNS206_2025","MymoNS206"
"371","NEF_mymo_MymoNS207_2025","MymoNS207"
"381","NEF_mymo_MymoNS208_2025","MymoNS208"
"391","NEF_mymo_MymoNS209_2025","MymoNS209"
"401","NEF_mymo_MymoNS18_2025","MymoNS18"
"413","NEF_mymo_MymoNS22_2025","MymoNS22"
"421","NEF_mymo_MymoNS29_2025","MymoNS29"
"432","NEF_mymo_MymoNS39_2025","MymoNS39"
"441","NEF_mymo_MymoNS44_2025","MymoNS44"
"451","NEF_mymo_MymoNS52_2025","MymoNS52"
"461","NEF_mymo_MymoNS81_2025","MymoNS81"
"167","NEF_long_P1_2025","LT_P1"
"240","NEF_long_P2_2025","LT_P2"
"314","NEF_long_P3_2025","LT_P3"
"414","NEF_long_P4_2025","LT_P4"
"513","NEF_long_P5_2025","LT_P5"
"612","NEF_long_P6_2025","LT_P6"
"713","NEF_long_P7_2025","LT_P7"
"811","NEF_long_P8_2025","LT_P8"
"912","NEF_long_P9_2025","LT_P9"
"105","NEF_long_P10_2025","LT_P10"
"1111","NEF_long_P11_2025","LT_P11"
"1212","NEF_long_P12_2025","LT_P12"
