"","...1","new.ID","Latitude","Longitude","groups","nitrogen","sand","cec","soc","phh2o","silt"
"126",127,"NEF_dryf_CARDP_2025",5.084,-74.802,9,335,291,161,520,53,314
"127",128,"NEF_dryf_CARDP_2025",5.084,-74.802,9,335,291,161,520,53,314
"128",129,"NEF_dryf_CARDP_2025",5.084,-74.802,9,335,291,161,520,53,314
"129",130,"NEF_dryf_CARDP_2025",5.084,-74.802,9,335,291,161,520,53,314
"130",131,"NEF_dryf_CARDP_2025",5.084,-74.802,9,335,291,161,520,53,314
"131",132,"NEF_dryf_MATIT_2025",11.338,-72.955,10,272,369,200,309,64,317
"132",133,"NEF_dryf_MATIT_2025",11.338,-72.955,10,272,369,200,309,64,317
"133",134,"NEF_dryf_MATIT_2025",11.338,-72.955,10,272,369,200,309,64,317
"134",135,"NEF_dryf_MATIT_2025",11.338,-72.955,10,272,369,200,309,64,317
"135",136,"NEF_dryf_MATIT_2025",11.338,-72.955,10,272,369,200,309,64,317
"136",137,"NEF_dryf_MATIT_2025",11.338,-72.955,10,272,369,200,309,64,317
"137",138,"NEF_dryf_MATIT_2025",11.338,-72.955,10,272,369,200,309,64,317
"138",139,"NEF_dryf_MATIT_2025",11.338,-72.955,10,272,369,200,309,64,317
"139",140,"NEF_dryf_MATIT_2025",11.338,-72.955,10,272,369,200,309,64,317
"140",141,"NEF_dryf_MATIT_2025",11.338,-72.955,10,272,369,200,309,64,317
"141",142,"NEF_dryf_MACUI_2025",12.199,-71.35,11,240,335,211,450,64,308
"142",143,"NEF_dryf_MACUI_2025",12.199,-71.35,11,240,335,211,450,64,308
"143",144,"NEF_dryf_MACUI_2025",12.199,-71.35,11,240,335,211,450,64,308
"144",145,"NEF_dryf_MACUI_2025",12.199,-71.35,11,240,335,211,450,64,308
"145",146,"NEF_dryf_MACUI_2025",12.199,-71.35,11,240,335,211,450,64,308
"146",147,"NEF_dryf_MACUI_2025",12.199,-71.35,11,240,335,211,450,64,308
"147",148,"NEF_dryf_MACUI_2025",12.199,-71.35,11,240,335,211,450,64,308
"148",149,"NEF_dryf_MACUI_2025",12.199,-71.35,11,240,335,211,450,64,308
"149",150,"NEF_dryf_MACUI_2025",12.199,-71.35,11,240,335,211,450,64,308
"150",151,"NEF_dryf_MACUI_2025",12.199,-71.35,11,240,335,211,450,64,308
"151",152,"NEF_dryf_MACUI_2025",12.199,-71.35,11,240,335,211,450,64,308
"152",153,"NEF_dryf_MACUI_2025",12.199,-71.35,11,240,335,211,450,64,308
"153",154,"NEF_dryf_MACUI_2025",12.199,-71.35,11,240,335,211,450,64,308
