PermanentID,location,morrone_biogeoregions_Region,morrone_biogeoregions_Dominio,morrone_biogeoregions_Provincias,climenv_holdridge_class,“”,morrone_biogeoregions_Provincias,ND,algal_parasite,animal-associated,animal_endosymbiont,animal_parasite,arbuscular_mycorrhizal,arthropod-associated,dung_saprotroph,ectomycorrhizal,epiphyte,ericoid_mycorrhizal,foliar_endophyte,lichen_parasite,lichenized,litter_saprotroph,moss_symbiont,mycoparasite,nectar/tap_saprotroph,plant_pathogen,pollen_saprotroph,protistan_parasite,root_endophyte,soil_saprotroph,sooty_mold,unspecified,unspecified_pathotroph,unspecified_saprotroph,unspecified_symbiotroph,wood_saprotroph,sample_type,Sum,Count,% ECM per sample,% ECM per sample_ok,, Hill_q0,  Hill_q1
GF01000700S,Northeast Argentina,Neotropical,Parana,Parana Forest province,Dry forest|Moist forest,GF01000700S,Parana Forest province,53,0,0,0,4,7,0,2,0,0,0,2,0,0,4,0,2,0,14,0,0,0,9,1,0,0,3,0,11,root,112,12,0,0,,12,6.113792
GF01000701S,Northeast Argentina,Neotropical,Parana,Parana Forest province,Dry forest|Moist forest,GF01000701S,Parana Forest province,53,0,0,0,2,14,0,1,0,0,0,3,0,0,6,0,2,1,15,0,0,0,21,1,0,0,5,0,8,root,132,13,0,0,,13,6.701115
GF01000702S,Northeast Argentina,Neotropical,Parana,Parana Forest province,Dry forest|Moist forest,GF01000702S,Parana Forest province,28,0,0,0,1,0,0,0,0,0,0,2,0,0,10,0,3,1,36,0,0,0,9,0,0,0,3,0,5,root,98,10,0,0,,10,5.563619
GF01003347S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003347S,N/A,27,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,1,0,3,1,0,0,4,0,0,0,5,0,0,soil,51,8,0,0,,8,4.492729
GF01003351S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003351S,N/A,21,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,1,0,0,0,7,0,0,0,2,0,0,soil,37,7,0,0,,7,3.86047
GF01003352S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003352S,N/A,18,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,3,0,0,0,5,0,0,0,3,0,0,soil,40,6,0,0,,6,4.24862
GF01003353S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003353S,N/A,15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,3,0,0,0,4,0,0,0,2,0,0,soil,34,6,0,0,,6,4.259752
GF01003354S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003354S,N/A,22,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,1,0,2,0,0,0,4,0,0,0,2,0,0,soil,39,7,0,0,,7,4.036667
GF01003355S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003355S,N/A,20,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,1,0,2,0,0,0,3,0,0,0,2,0,0,soil,35,8,0,0,,8,4.221531
GF01003369S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003369S,N/A,23,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,1,0,2,0,0,0,6,0,0,0,2,0,0,soil,40,8,0,0,,8,4.182204
GF01003372S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003372S,N/A,15,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,6,0,0,0,2,0,2,soil,33,7,0,0,,7,4.618218
GF01003380S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003380S,N/A,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,5,0,0,0,3,0,0,soil,32,6,0,0,,6,3.714134
GF01003381S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003381S,N/A,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,5,0,0,0,3,0,0,soil,30,6,0,0,,6,4.546136
GF01003394S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003394S,N/A,22,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,2,0,0,0,5,0,0,0,3,0,0,soil,40,7,2.5,2.5,,7,4.062543
GF01003395S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003395S,N/A,15,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,1,0,2,0,0,0,4,0,0,0,2,0,0,soil,33,7,3.03030303,3.03030303,,7,4.524084
GF01003396S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003396S,N/A,22,0,0,0,1,0,0,2,0,0,0,0,0,0,9,0,1,0,3,1,0,0,5,0,0,0,3,0,0,soil,47,9,0,0,,9,5.163273
GF01003397S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003397S,N/A,30,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,1,0,3,1,0,0,5,0,0,0,3,0,0,soil,51,8,0,0,,8,3.962991
GF01003398S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003398S,N/A,19,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,2,0,0,0,5,0,0,0,3,0,0,soil,38,7,0,0,,7,4.357626
GF01003399S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003399S,N/A,21,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,1,0,2,0,0,0,5,0,0,0,1,0,0,soil,37,7,0,0,,7,3.947284
GF01003400S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003400S,N/A,14,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,1,0,2,0,0,0,3,0,0,0,2,0,0,soil,30,7,6.666666667,6.666666667,,7,4.772139
GF01003401S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003401S,N/A,20,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,1,0,0,0,4,0,0,0,3,0,0,soil,37,6,0,0,,6,3.680497
GF01003402S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003402S,N/A,15,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,1,0,0,0,3,0,0,0,2,0,0,soil,29,7,3.448275862,3.448275862,,7,4.197204
GF01003403S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003403S,N/A,17,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1,0,3,0,0,0,5,0,0,0,4,0,0,soil,38,7,2.631578947,2.631578947,,7,4.793268
GF01003404S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003404S,N/A,27,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,2,0,0,0,4,0,0,0,3,0,0,soil,43,6,0,0,,6,3.33297
GF01003405S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003405S,N/A,23,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,3,0,0,0,4,0,0,0,2,0,0,soil,43,6,0,0,,6,3.70894
GF01003411S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003411S,N/A,18,0,0,0,1,0,0,2,0,0,0,0,0,0,5,0,1,0,2,0,0,0,5,0,0,0,3,0,0,soil,37,8,0,0,,8,4.981825
GF01003412S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003412S,N/A,33,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,1,0,2,0,0,0,8,0,0,0,2,0,1,soil,57,8,1.754385965,1.754385965,,8,3.78609
GF01003414S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003414S,N/A,32,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,2,0,0,0,4,0,0,0,2,0,1,soil,47,8,2.127659574,2.127659574,,8,3.305347
GF01003420S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003420S,N/A,22,0,0,0,1,0,0,2,0,0,0,0,0,0,4,0,1,0,2,0,0,0,5,0,0,0,2,0,0,soil,39,8,0,0,,8,4.326403
