"","new.ID","X","sample_id","Composite","tokeep_NEF","pH","CE","Pw","sat","C_org","P","K","Ca","Mg","Na","CIC","Fe","Mn","Cu","Zn","B","X.Sand","X.Silt","X.Cray","code_name","dispositif","loc","landuse","plot","valley","PC1_soil","PC2_soil","x","y","z","tropical_microclimate_daily_value","tropical_microclimate_day_value","tropical_microclimate_night_value","soil_temp_0_5_value","soil_temp_5_15_value","NDVI_value","Colombia_ALOS_Topography_30m_value","HFI","ARD","Aridity","Isoth","SRad","PET","TAP","TPdriest","WVP","Wind","PC1_clim","PC2_clim","samples_aggregation"
"1","NEF_dryf_TAM_2025",1,"P01S07","P01Q1","yes",7.4,0.445,"1.667.219","6.100.033","2.871.784","2.355.158","3.366.689","5.117.088","8.740.717","1.659.209","3.880.127","1.115.798","1.037.534","1.588.245","2.584.177",0.4452049,"4.265.968.691","3.212.684.354","2.521.346.955","P01",2,"TAM","undisturbed","TAM","Patia","190.419.985.362.429","241.418.694.311.166",-77.31,1.674,623,"0","0","0","229.130.382.537.842","215.799.255.371.094",0.586671411991119,0.819414258003235,62.5,138,1.94,91.78,159.45,1400.8,721.4,52.4,2.36,0.96,"-19.087.045.734.332","-318.132.590.402.109","P01S01"
"2","NEF_dryf_TAM_2025",2,"P01S08","P01Q1","yes",7.4,0.445,"1.667.219","6.100.033","2.871.784","2.355.158","3.366.689","5.117.088","8.740.717","1.659.209","3.880.127","1.115.798","1.037.534","1.588.245","2.584.177",0.4452049,"4.265.968.691","3.212.684.354","2.521.346.955","P01",2,"TAM","undisturbed","TAM","Patia","190.419.985.362.429","241.418.694.311.166",-77.31,1.674,623,"0","0","0","229.130.382.537.842","215.799.255.371.094",0.586671411991119,0.819414258003235,62.5,138,1.94,91.78,159.45,1400.8,721.4,52.4,2.36,0.96,"-19.087.045.734.332","-318.132.590.402.109","P01S01"
"3","NEF_dryf_TAM_2025",3,"P01S09","P01Q3","yes",7.24,0.473,"1.965.793","6.967.663","30.431","3.889.133","5.029.116","4.700.519","8.497.054","1.152.825","3.564.626","1.101.067","1.200.219","1.840.686","2.635.612",0.524014,"4.453.060.724","2.610.324.525","2.936.614.751","P01",2,"TAM","undisturbed","TAM","Patia","227.272.593.635.074","279.944.726.999.542",-77.31,1.674,623,"0","0","0","229.130.382.537.842","215.799.255.371.094",0.586671411991119,0.819414258003235,62.5,138,1.94,91.78,159.45,1400.8,721.4,52.4,2.36,0.96,"-190.870.457.343.319","-318.132.590.402.108","P01S09"
"4","NEF_dryf_TAM_2025",4,"P01S10","P01Q3","yes",7.24,0.473,"1.965.793","6.967.663","30.431","3.889.133","5.029.116","4.700.519","8.497.054","1.152.825","3.564.626","1.101.067","1.200.219","1.840.686","2.635.612",0.524014,"4.453.060.724","2.610.324.525","2.936.614.751","P01",2,"TAM","undisturbed","TAM","Patia","227.272.593.635.074","279.944.726.999.542",-77.31,1.674,623,"0","0","0","229.130.382.537.842","215.799.255.371.094",0.586671411991119,0.819414258003235,62.5,138,1.94,91.78,159.45,1400.8,721.4,52.4,2.36,0.96,"-190.870.457.343.319","-318.132.590.402.108","P01S09"
"5","NEF_dryf_TAM_2025",5,"P01S15","P01Q3","yes",7.24,0.473,"1.965.793","6.967.663","30.431","3.889.133","5.029.116","4.700.519","8.497.054","1.152.825","3.564.626","1.101.067","1.200.219","1.840.686","2.635.612",0.524014,"4.453.060.724","2.610.324.525","2.936.614.751","P01",2,"TAM","undisturbed","TAM","Patia","227.272.593.635.074","279.944.726.999.542",-77.31,1.674,623,"0","0","0","229.130.382.537.842","215.799.255.371.094",0.586671411991119,0.819414258003235,62.5,138,1.94,91.78,159.45,1400.8,721.4,52.4,2.36,0.96,"-190.870.457.343.319","-318.132.590.402.108","P01S09"
"15","NEF_dryf_VINC_2025",15,"P03S01","P03Q1","yes",6.93,0.818,"3.460.418","8.276.833","315.621","6.765.978","4.877.124","3.754.016","1.657.378","6.091.749","4.535.885","241.965","1.394.584","3.794.514","4.415.897",0.6581365,"3.544.069.775","3.269.349.438","3.186.580.788","P03",1,"VINC","undisturbed","VINC","Cauca","490.736.615.187.211","24.208.757.143.577",-76.296,3.836,1016,"184.369.258.880.615","197.624.340.057.373","185.750.675.201.416","215.538.578.033.447","210.830.612.182.617",0.871298134326935,0.291250973939896,65,144,0.97,93.3,169.95,1161.3,1192.4,168.5,2.14,0.87,"-337.932.020.314.934","-177.842.037.462.718","P03S01"
"16","NEF_dryf_VINC_2025",16,"P03S02","P03Q1","yes",6.93,0.818,"3.460.418","8.276.833","315.621","6.765.978","4.877.124","3.754.016","1.657.378","6.091.749","4.535.885","241.965","1.394.584","3.794.514","4.415.897",0.6581365,"3.544.069.775","3.269.349.438","3.186.580.788","P03",1,"VINC","undisturbed","VINC","Cauca","490.736.615.187.211","24.208.757.143.577",-76.296,3.836,1016,"184.369.258.880.615","197.624.340.057.373","185.750.675.201.416","215.538.578.033.447","210.830.612.182.617",0.871298134326935,0.291250973939896,65,144,0.97,93.3,169.95,1161.3,1192.4,168.5,2.14,0.87,"-337.932.020.314.934","-177.842.037.462.718","P03S01"
"17","NEF_dryf_VINC_2025",17,"P03S06","P03Q2","yes",6.92,0.957,"5.126.655","9.461.399","4.480.909","4.980.482","3.111.833","5.109.864","2.137.816","1.605.284","4.153.838","2.857.616","1.113.102","4.237.024","5.228.369",0.8626832,"3.650.349.871","2.901.495.921","3.448.154.207","P03",1,"VINC","undisturbed","VINC","Cauca","656.331.745.523.152","230.133.048.995.055",-76.296,3.836,1016,"184.369.258.880.615","197.624.340.057.373","185.750.675.201.416","215.538.578.033.447","210.830.612.182.617",0.871298134326935,0.291250973939896,65,144,0.97,93.3,169.95,1161.3,1192.4,168.5,2.14,0.87,"-337.932.020.314.934","-177.842.037.462.718","P03S05"
"18","NEF_dryf_VINC_2025",18,"P03S07","P03Q2","yes",6.92,0.957,"5.126.655","9.461.399","4.480.909","4.980.482","3.111.833","5.109.864","2.137.816","1.605.284","4.153.838","2.857.616","1.113.102","4.237.024","5.228.369",0.8626832,"3.650.349.871","2.901.495.921","3.448.154.207","P03",1,"VINC","undisturbed","VINC","Cauca","656.331.745.523.152","230.133.048.995.055",-76.296,3.836,1016,"184.369.258.880.615","197.624.340.057.373","185.750.675.201.416","215.538.578.033.447","210.830.612.182.617",0.871298134326935,0.291250973939896,65,144,0.97,93.3,169.95,1161.3,1192.4,168.5,2.14,0.87,"-337.932.020.314.934","-177.842.037.462.718","P03S05"
"19","NEF_dryf_VINC_2025",19,"P03S08","P03Q2","yes",6.92,0.957,"5.126.655","9.461.399","4.480.909","4.980.482","3.111.833","5.109.864","2.137.816","1.605.284","4.153.838","2.857.616","1.113.102","4.237.024","5.228.369",0.8626832,"3.650.349.871","2.901.495.921","3.448.154.207","P03",1,"VINC","undisturbed","VINC","Cauca","656.331.745.523.152","230.133.048.995.055",-76.296,3.836,1016,"184.369.258.880.615","197.624.340.057.373","185.750.675.201.416","215.538.578.033.447","210.830.612.182.617",0.871298134326935,0.291250973939896,65,144,0.97,93.3,169.95,1161.3,1192.4,168.5,2.14,0.87,"-337.932.020.314.934","-177.842.037.462.718","P03S05"
"20","NEF_dryf_VINC_2025",20,"P03S09","P03Q3","yes",6.66,0.747,"3.959.146","8.663.262","3.522.959","4.684.616","1.918.129","4300.68","1.619.806","1.262.688","3.568.504","2.094.174","114.222","2.832.679","4.497.897",0.7346252,"35.129.491","4.116.782.439","2.370.268.461","P03",1,"VINC","undisturbed","VINC","Cauca","453.207.647.645.255","105.179.223.050.825",-76.296,3.836,1016,"184.369.258.880.615","197.624.340.057.373","185.750.675.201.416","215.538.578.033.447","210.830.612.182.617",0.871298134326935,0.291250973939896,65,144,0.97,93.3,169.95,1161.3,1192.4,168.5,2.14,0.87,"-337.932.020.314.934","-177.842.037.462.718","P03S09"
"21","NEF_dryf_VINC_2025",21,"P03S10","P03Q3","yes",6.66,0.747,"3.959.146","8.663.262","3.522.959","4.684.616","1.918.129","4300.68","1.619.806","1.262.688","3.568.504","2.094.174","114.222","2.832.679","4.497.897",0.7346252,"35.129.491","4.116.782.439","2.370.268.461","P03",1,"VINC","undisturbed","VINC","Cauca","453.207.647.645.255","105.179.223.050.825",-76.296,3.836,1016,"184.369.258.880.615","197.624.340.057.373","185.750.675.201.416","215.538.578.033.447","210.830.612.182.617",0.871298134326935,0.291250973939896,65,144,0.97,93.3,169.95,1161.3,1192.4,168.5,2.14,0.87,"-337.932.020.314.934","-177.842.037.462.718","P03S09"
"22","NEF_dryf_VINC_2025",22,"P03S11","P03Q3","yes",6.66,0.747,"3.959.146","8.663.262","3.522.959","4.684.616","1.918.129","4300.68","1.619.806","1.262.688","3.568.504","2.094.174","114.222","2.832.679","4.497.897",0.7346252,"35.129.491","4.116.782.439","2.370.268.461","P03",1,"VINC","undisturbed","VINC","Cauca","453.207.647.645.255","105.179.223.050.825",-76.296,3.836,1016,"184.369.258.880.615","197.624.340.057.373","185.750.675.201.416","215.538.578.033.447","210.830.612.182.617",0.871298134326935,0.291250973939896,65,144,0.97,93.3,169.95,1161.3,1192.4,168.5,2.14,0.87,"-337.932.020.314.934","-177.842.037.462.718","P03S09"
"23","NEF_dryf_VINC_2025",23,"P03S12","P03Q3","yes",6.66,0.747,"3.959.146","8.663.262","3.522.959","4.684.616","1.918.129","4300.68","1.619.806","1.262.688","3.568.504","2.094.174","114.222","2.832.679","4.497.897",0.7346252,"35.129.491","4.116.782.439","2.370.268.461","P03",1,"VINC","undisturbed","VINC","Cauca","453.207.647.645.255","105.179.223.050.825",-76.296,3.836,1016,"184.369.258.880.615","197.624.340.057.373","185.750.675.201.416","215.538.578.033.447","210.830.612.182.617",0.871298134326935,0.291250973939896,65,144,0.97,93.3,169.95,1161.3,1192.4,168.5,2.14,0.87,"-337.932.020.314.934","-177.842.037.462.718","P03S09"
"24","NEF_dryf_VINC_2025",24,"P03S13","P03Q4","yes",5.85,0.455,"2.980.547","7.551.907","2.989.752","209.365","1.713.081","2.933.454","1.918.252","9.334.156","2.998.682","6.523.735","2.661.903","4.255.568","4.692.412",0.4858073,"3.368.052.588","3.872.068.819","2.759.878.593","P03",1,"VINC","undisturbed","VINC","Cauca","374.554.743.898.034","-0.618372117796878",-76.296,3.836,1016,"184.369.258.880.615","197.624.340.057.373","185.750.675.201.416","215.538.578.033.447","210.830.612.182.617",0.871298134326935,0.291250973939896,65,144,0.97,93.3,169.95,1161.3,1192.4,168.5,2.14,0.87,"-337.932.020.314.934","-177.842.037.462.718","P03S13"
"25","NEF_dryf_VINC_2025",25,"P03S14","P03Q4","yes",5.85,0.455,"2.980.547","7.551.907","2.989.752","209.365","1.713.081","2.933.454","1.918.252","9.334.156","2.998.682","6.523.735","2.661.903","4.255.568","4.692.412",0.4858073,"3.368.052.588","3.872.068.819","2.759.878.593","P03",1,"VINC","undisturbed","VINC","Cauca","374.554.743.898.034","-0.618372117796878",-76.296,3.836,1016,"184.369.258.880.615","197.624.340.057.373","185.750.675.201.416","215.538.578.033.447","210.830.612.182.617",0.871298134326935,0.291250973939896,65,144,0.97,93.3,169.95,1161.3,1192.4,168.5,2.14,0.87,"-337.932.020.314.934","-177.842.037.462.718","P03S13"
"26","NEF_dryf_VINC_2025",26,"P03S15","P03Q4","yes",5.85,0.455,"2.980.547","7.551.907","2.989.752","209.365","1.713.081","2.933.454","1.918.252","9.334.156","2.998.682","6.523.735","2.661.903","4.255.568","4.692.412",0.4858073,"3.368.052.588","3.872.068.819","2.759.878.593","P03",1,"VINC","undisturbed","VINC","Cauca","374.554.743.898.034","-0.618372117796878",-76.296,3.836,1016,"184.369.258.880.615","197.624.340.057.373","185.750.675.201.416","215.538.578.033.447","210.830.612.182.617",0.871298134326935,0.291250973939896,65,144,0.97,93.3,169.95,1161.3,1192.4,168.5,2.14,0.87,"-337.932.020.314.934","-177.842.037.462.718","P03S13"
"27","NEF_dryf_VINC_2025",27,"P03S16","P03Q4","yes",5.85,0.455,"2.980.547","7.551.907","2.989.752","209.365","1.713.081","2.933.454","1.918.252","9.334.156","2.998.682","6.523.735","2.661.903","4.255.568","4.692.412",0.4858073,"3.368.052.588","3.872.068.819","2.759.878.593","P03",1,"VINC","undisturbed","VINC","Cauca","374.554.743.898.034","-0.618372117796878",-76.296,3.836,1016,"184.369.258.880.615","197.624.340.057.373","185.750.675.201.416","215.538.578.033.447","210.830.612.182.617",0.871298134326935,0.291250973939896,65,144,0.97,93.3,169.95,1161.3,1192.4,168.5,2.14,0.87,"-337.932.020.314.934","-177.842.037.462.718","P03S13"
"43","NEF_dryf_MATGUA_2025",43,"P05S01","P05Q1","yes",6.46,0.74,"7.161.575","7.858.515","3.183.829","1.828.276","6.141.151","5.484.997","1.594.144","1.174.277","446.182","2.759.903","9.142.812","3.950.833","4.227.738",0.9333133,"4.813.379.591","3.171.982.875","2.014.637.534","P05",4,"MATGUA","undisturbed","MATGUA","Cauca","559.240.435.173.922","276.225.312.259.366",-76.159,4.028,1180,"19.054.313.659.668","198.354.015.350.342","178.402.442.932.129","202.220.497.131.348","199.559.097.290.039",0.858583867549896,0.662108242511749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-11.910.222.140.221","-107.928.793.023.739","P05S01"
"44","NEF_dryf_MATGUA_2025",44,"P05S02","P05Q1","yes",6.46,0.74,"7.161.575","7.858.515","3.183.829","1.828.276","6.141.151","5.484.997","1.594.144","1.174.277","446.182","2.759.903","9.142.812","3.950.833","4.227.738",0.9333133,"4.813.379.591","3.171.982.875","2.014.637.534","P05",4,"MATGUA","undisturbed","MATGUA","Cauca","559.240.435.173.922","276.225.312.259.366",-76.159,4.028,1180,"19.054.313.659.668","198.354.015.350.342","178.402.442.932.129","202.220.497.131.348","199.559.097.290.039",0.858583867549896,0.662108242511749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-11.910.222.140.221","-107.928.793.023.739","P05S01"
"45","NEF_dryf_MATGUA_2025",45,"P05S03","P05Q2","yes",6.2,0.658,"4.529.812","8.536.601","291.016","4.539.185","4.447.973","4.902.124","1.622.401","1.000.141","4.738.588","3.674.055","1.487.292","4.702.378","4.549.346",0.7342491,"4.522.637.699","309.408.267","2.383.279.631","P05",4,"MATGUA","undisturbed","MATGUA","Cauca","50.284.281.561.518","186.013.588.351.589",-76.159,4.028,1180,"19.054.313.659.668","198.354.015.350.342","178.402.442.932.129","202.220.497.131.348","199.559.097.290.039",0.858583867549896,0.662108242511749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-11.910.222.140.221","-107.928.793.023.739","P05S03"
"46","NEF_dryf_MATGUA_2025",46,"P05S04","P05Q2","yes",6.2,0.658,"4.529.812","8.536.601","291.016","4.539.185","4.447.973","4.902.124","1.622.401","1.000.141","4.738.588","3.674.055","1.487.292","4.702.378","4.549.346",0.7342491,"4.522.637.699","309.408.267","2.383.279.631","P05",4,"MATGUA","undisturbed","MATGUA","Cauca","50.284.281.561.518","186.013.588.351.589",-76.159,4.028,1180,"19.054.313.659.668","198.354.015.350.342","178.402.442.932.129","202.220.497.131.348","199.559.097.290.039",0.858583867549896,0.662108242511749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-11.910.222.140.221","-107.928.793.023.739","P05S03"
"47","NEF_dryf_MATGUA_2025",47,"P05S05","P05Q3","yes",6.37,0.739,"3.488.678","9.313.981","2.348.928","6.132.221","3.408.213","4.811.081","1487.53","2.021.341","3.632.658","3.060.429","2.111.314","469.611","4.396.199",0.9272094,"4.577.193.104","3.063.265.112","2.359.541.784","P05",4,"MATGUA","undisturbed","MATGUA","Cauca","454.421.116.427.115","181.864.484.821.611",-76.159,4.028,1180,"19.054.313.659.668","198.354.015.350.342","178.402.442.932.129","202.220.497.131.348","199.559.097.290.039",0.858583867549896,0.662108242511749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-11.910.222.140.221","-107.928.793.023.739","P05S05"
"48","NEF_dryf_MATGUA_2025",48,"P05S06","P05Q3","yes",6.37,0.739,"3.488.678","9.313.981","2.348.928","6.132.221","3.408.213","4.811.081","1487.53","2.021.341","3.632.658","3.060.429","2.111.314","469.611","4.396.199",0.9272094,"4.577.193.104","3.063.265.112","2.359.541.784","P05",4,"MATGUA","undisturbed","MATGUA","Cauca","454.421.116.427.115","181.864.484.821.611",-76.159,4.028,1180,"19.054.313.659.668","198.354.015.350.342","178.402.442.932.129","202.220.497.131.348","199.559.097.290.039",0.858583867549896,0.662108242511749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-11.910.222.140.221","-107.928.793.023.739","P05S05"
"49","NEF_dryf_MATGUA_2025",49,"P05S07","P05Q3","yes",6.37,0.739,"3.488.678","9.313.981","2.348.928","6.132.221","3.408.213","4.811.081","1487.53","2.021.341","3.632.658","3.060.429","2.111.314","469.611","4.396.199",0.9272094,"4.577.193.104","3.063.265.112","2.359.541.784","P05",4,"MATGUA","undisturbed","MATGUA","Cauca","454.421.116.427.115","181.864.484.821.611",-76.159,4.028,1180,"19.054.313.659.668","198.354.015.350.342","178.402.442.932.129","202.220.497.131.348","199.559.097.290.039",0.858583867549896,0.662108242511749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-11.910.222.140.221","-107.928.793.023.739","P05S05"
"50","NEF_dryf_MATGUA_2025",50,"P05S08","P05Q3","yes",6.37,0.739,"3.488.678","9.313.981","2.348.928","6.132.221","3.408.213","4.811.081","1487.53","2.021.341","3.632.658","3.060.429","2.111.314","469.611","4.396.199",0.9272094,"4.577.193.104","3.063.265.112","2.359.541.784","P05",4,"MATGUA","undisturbed","MATGUA","Cauca","454.421.116.427.115","181.864.484.821.611",-76.159,4.028,1180,"19.054.313.659.668","198.354.015.350.342","178.402.442.932.129","202.220.497.131.348","199.559.097.290.039",0.858583867549896,0.662108242511749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-11.910.222.140.221","-107.928.793.023.739","P05S05"
"51","NEF_dryf_MATGUA_2025",51,"P05S09","P05Q2","yes",6.2,0.658,"4.529.812","8.536.601","291.016","4.539.185","4.447.973","4.902.124","1.622.401","1.000.141","4.738.588","3.674.055","1.487.292","4.702.378","4.549.346",0.7342491,"4.522.637.699","309.408.267","2.383.279.631","P05",4,"MATGUA","undisturbed","MATGUA","Cauca","50.284.281.561.518","186.013.588.351.589",-76.159,4.028,1180,"19.054.313.659.668","198.354.015.350.342","178.402.442.932.129","202.220.497.131.348","199.559.097.290.039",0.858583867549896,0.662108242511749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-11.910.222.140.221","-107.928.793.023.739","P05S03"
"52","NEF_dryf_MATGUA_2025",52,"P05S10","P05Q2","yes",6.2,0.658,"4.529.812","8.536.601","291.016","4.539.185","4.447.973","4.902.124","1.622.401","1.000.141","4.738.588","3.674.055","1.487.292","4.702.378","4.549.346",0.7342491,"4.522.637.699","309.408.267","2.383.279.631","P05",4,"MATGUA","undisturbed","MATGUA","Cauca","50.284.281.561.518","186.013.588.351.589",-76.159,4.028,1180,"19.054.313.659.668","198.354.015.350.342","178.402.442.932.129","202.220.497.131.348","199.559.097.290.039",0.858583867549896,0.662108242511749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-11.910.222.140.221","-107.928.793.023.739","P05S03"
"53","NEF_dryf_MATGUA_2025",53,"P05S11","P05Q1","yes",6.46,0.74,"7.161.575","7.858.515","3.183.829","1.828.276","6.141.151","5.484.997","1.594.144","1.174.277","446.182","2.759.903","9.142.812","3.950.833","4.227.738",0.9333133,"4.813.379.591","3.171.982.875","2.014.637.534","P05",4,"MATGUA","undisturbed","MATGUA","Cauca","559.240.435.173.922","276.225.312.259.366",-76.159,4.028,1180,"19.054.313.659.668","198.354.015.350.342","178.402.442.932.129","202.220.497.131.348","199.559.097.290.039",0.858583867549896,0.662108242511749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-11.910.222.140.221","-107.928.793.023.739","P05S01"
"54","NEF_dryf_MATGUA_2025",54,"P05S12","P05Q1","yes",6.46,0.74,"7.161.575","7.858.515","3.183.829","1.828.276","6.141.151","5.484.997","1.594.144","1.174.277","446.182","2.759.903","9.142.812","3.950.833","4.227.738",0.9333133,"4.813.379.591","3.171.982.875","2.014.637.534","P05",4,"MATGUA","undisturbed","MATGUA","Cauca","559.240.435.173.922","276.225.312.259.366",-76.159,4.028,1180,"19.054.313.659.668","198.354.015.350.342","178.402.442.932.129","202.220.497.131.348","199.559.097.290.039",0.858583867549896,0.662108242511749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-11.910.222.140.221","-107.928.793.023.739","P05S01"
"55","NEF_dryf_MATGUA_2025",55,"P05S14","P05Q4","yes",6.28,0.65,"4.418.658","8.875.586","3.101.549","5","4.059.505","5.150.797","1.330.037","9.341.293","3.264.442","3.723.444","1.511.753","3.832.165","484.419",0.7143216,"3.066.600.932","3.926.141.789","3.007.257.278","P05",4,"MATGUA","undisturbed","MATGUA","Cauca","518.401.723.738.349","11.679.897.848.867",-76.159,4.028,1180,"19.054.313.659.668","198.354.015.350.342","178.402.442.932.129","202.220.497.131.348","199.559.097.290.039",0.858583867549896,0.662108242511749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-11.910.222.140.221","-107.928.793.023.739","P05S13"
"56","NEF_dryf_MATGUA_2025",56,"P05S15","P05Q4","yes",6.28,0.65,"4.418.658","8.875.586","3.101.549","5","4.059.505","5.150.797","1.330.037","9.341.293","3.264.442","3.723.444","1.511.753","3.832.165","484.419",0.7143216,"3.066.600.932","3.926.141.789","3.007.257.278","P05",4,"MATGUA","undisturbed","MATGUA","Cauca","518.401.723.738.349","11.679.897.848.867",-76.159,4.028,1180,"19.054.313.659.668","198.354.015.350.342","178.402.442.932.129","202.220.497.131.348","199.559.097.290.039",0.858583867549896,0.662108242511749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-11.910.222.140.221","-107.928.793.023.739","P05S13"
"57","NEF_dryf_MATGUA_2025",57,"P05S16","P05Q4","yes",6.28,0.65,"4.418.658","8.875.586","3.101.549","5","4.059.505","5.150.797","1.330.037","9.341.293","3.264.442","3.723.444","1.511.753","3.832.165","484.419",0.7143216,"3.066.600.932","3.926.141.789","3.007.257.278","P05",4,"MATGUA","undisturbed","MATGUA","Cauca","518.401.723.738.349","11.679.897.848.867",-76.159,4.028,1180,"19.054.313.659.668","198.354.015.350.342","178.402.442.932.129","202.220.497.131.348","199.559.097.290.039",0.858583867549896,0.662108242511749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-11.910.222.140.221","-107.928.793.023.739","P05S13"
"65","NEF_dryf_TAME_2025",65,"P07S01","P07Q1","yes",5.8,0.415,"3.565.984","8.803.109","3.406.622","2.589.675","1.311.125","2.160.318","5.500.908","3.935.507","3.436.578","6.440.354","4.716.125","2.221.076","4.831.353",0.489124,"4.987.406.239","3.728.375.605","1.284.218.156","P07",1,"TAME","undisturbed","TAME","cauca","227.887.732.057.898","-22.268.370.684.569",-75.666,5.784,764,"0","0","0","239.027.423.858.643","234.907.741.546.631",0.885101139545441,0.430832982063293,74,180,0.64,90.27,176.36,1397.9,2183,285.8,2.38,0.79,"-289.783.127.079.665","150.466.164.115.678","P07S01"
"66","NEF_dryf_TAME_2025",66,"P07S02","P07Q1","yes",5.8,0.415,"3.565.984","8.803.109","3.406.622","2.589.675","1.311.125","2.160.318","5.500.908","3.935.507","3.436.578","6.440.354","4.716.125","2.221.076","4.831.353",0.489124,"4.987.406.239","3.728.375.605","1.284.218.156","P07",1,"TAME","undisturbed","TAME","cauca","227.887.732.057.898","-22.268.370.684.569",-75.666,5.784,764,"0","0","0","239.027.423.858.643","234.907.741.546.631",0.885101139545441,0.430832982063293,74,180,0.64,90.27,176.36,1397.9,2183,285.8,2.38,0.79,"-289.783.127.079.665","150.466.164.115.678","P07S01"
"67","NEF_dryf_TAME_2025",67,"P07S03","P07Q1","yes",5.8,0.415,"3.565.984","8.803.109","3.406.622","2.589.675","1.311.125","2.160.318","5.500.908","3.935.507","3.436.578","6.440.354","4.716.125","2.221.076","4.831.353",0.489124,"4.987.406.239","3.728.375.605","1.284.218.156","P07",1,"TAME","undisturbed","TAME","cauca","227.887.732.057.898","-22.268.370.684.569",-75.666,5.784,764,"0","0","0","239.027.423.858.643","234.907.741.546.631",0.885101139545441,0.430832982063293,74,180,0.64,90.27,176.36,1397.9,2183,285.8,2.38,0.79,"-289.783.127.079.665","150.466.164.115.678","P07S01"
"68","NEF_dryf_TAME_2025",68,"P07S04","P07Q1","yes",5.8,0.415,"3.565.984","8.803.109","3.406.622","2.589.675","1.311.125","2.160.318","5.500.908","3.935.507","3.436.578","6.440.354","4.716.125","2.221.076","4.831.353",0.489124,"4.987.406.239","3.728.375.605","1.284.218.156","P07",1,"TAME","undisturbed","TAME","cauca","227.887.732.057.898","-22.268.370.684.569",-75.666,5.784,764,"0","0","0","239.027.423.858.643","234.907.741.546.631",0.885101139545441,0.430832982063293,74,180,0.64,90.27,176.36,1397.9,2183,285.8,2.38,0.79,"-289.783.127.079.665","150.466.164.115.678","P07S01"
"69","NEF_dryf_TAME_2025",69,"P07S07","P07Q2","yes",5.95,0.498,"3.376.036","8.442.376","3.664.973","1.838.473","1.837.509","2.741.032","6.494.227","3.506.515","3.259.289","6.296.986","3.363.381","2.085.301","5.855.839",0.5094423,"4.376.343.501","3.721.537.482","1.902.119.017","P07",1,"TAME","undisturbed","TAME","cauca","269.461.258.226.113","-153.609.955.827.914",-75.666,5.784,764,"0","0","0","239.027.423.858.643","234.907.741.546.631",0.885101139545441,0.430832982063293,74,180,0.64,90.27,176.36,1397.9,2183,285.8,2.38,0.79,"-289.783.127.079.665","150.466.164.115.678","P07S05"
"70","NEF_dryf_TAME_2025",70,"P07S08","P07Q2","yes",5.95,0.498,"3.376.036","8.442.376","3.664.973","1.838.473","1.837.509","2.741.032","6.494.227","3.506.515","3.259.289","6.296.986","3.363.381","2.085.301","5.855.839",0.5094423,"4.376.343.501","3.721.537.482","1.902.119.017","P07",1,"TAME","undisturbed","TAME","cauca","269.461.258.226.113","-153.609.955.827.914",-75.666,5.784,764,"0","0","0","239.027.423.858.643","234.907.741.546.631",0.885101139545441,0.430832982063293,74,180,0.64,90.27,176.36,1397.9,2183,285.8,2.38,0.79,"-289.783.127.079.665","150.466.164.115.678","P07S05"
"71","NEF_dryf_TAME_2025",71,"P07S09","P07Q3","yes",5.95,0.449,"4.693.844","8.201.018","3.273.451","3.234.622","204.532","3.100.787","6.758.197","3.312.513","3.533.863","6.536.372","3.042.131","8.766.226","1.234.236",0.5583647,"388.587.936","4.397.141.641","1.716.978.999","P07",1,"TAME","undisturbed","TAME","cauca","409.536.843.697.671","-179.707.626.465.981",-75.666,5.784,764,"0","0","0","239.027.423.858.643","234.907.741.546.631",0.885101139545441,0.430832982063293,74,180,0.64,90.27,176.36,1397.9,2183,285.8,2.38,0.79,"-289.783.127.079.665","150.466.164.115.678","P07S09"
"72","NEF_dryf_TAME_2025",72,"P07S13","P07Q4","yes",6.23,0.612,"2.553.458","7.349.664","3.944.961","3.706.362","2.605.432","3.005.795","6.288.045","3.431.439","2.768.455","6.765.944","6.563.708","1.821.349","7.983.377",0.4085749,"4.010.877.884","4.307.245.441","1.681.876.676","P07",1,"TAME","undisturbed","TAME","cauca","258.836.520.714.148","-194.448.248.224.007",-75.666,5.784,764,"0","0","0","239.027.423.858.643","234.907.741.546.631",0.885101139545441,0.430832982063293,74,180,0.64,90.27,176.36,1397.9,2183,285.8,2.38,0.79,"-289.783.127.079.665","150.466.164.115.678","P07S13"
