plot_id;tokeep_NEF;alternative_plot_id;site_id;site_name;habitat;habitat_simple;project;seq_run;fg_soil_project;latitude;longitude;altitude;eDNA_sequence_data_available;phys_chem_data_available;phys_chem_patches_analyzed;clay;silt;sand;pH;TN;OC;CN;AP
BUG-620;no;BUG_0620;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.479.420.004;-5.320.693.103;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-621;no;BUG_0621;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.479.443.977;-53.206.553;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-622;no;BUG_0622;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.479.885.032;-5.321.201.398;7;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-623;no;BUG_0623;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.478.675.021;-5.321.074.798;9;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-624;no;BUG_0624;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.478.589.023;-5.320.854.597;7;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-625;no;BUG_0625;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.478.128.018;-5.320.556.796;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-626;no;BUG_0626;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;547.972.301;-5.320.531.701;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-627;no;BUG_0627;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.480.205.975;-5.320.309.698;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-628;no;BUG_0628;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;538.425.196;-52.953.098;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-629;no;BUG_0629;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.382.574.992;-5.295.348.398;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-630;no;BUG_0630;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;538.321.604;-5.295.506.598;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-631;no;BUG_0631;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.383.071.033;-5.295.646.601;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-632;no;BUG_0632;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.384.419.011;-52.957.786;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-633;no;BUG_0633;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.380.932.977;-52.959.857;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-634;no;BUG_0634;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.379.955.983;-5.295.609.302;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-635;no;BUG_0635;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.381.408.986;-52.956.809;7;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-636;no;BUG_0636;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.379.049.983;-5.295.341.098;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-637;no;BUG_0637;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.376.547.985;-52.954.379;8;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-638;no;BUG_0638;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.379.283;-52.959.586;1;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-639;no;BUG_0639;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.377.377.961;-5.295.895.997;7;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-640;no;BUG_0640;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;537.891.604;-5.295.801.499;7;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-641;no;BUG_0641;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.378.377;-5.295.575.297;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-642;no;BUG_0642;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.377.862.016;-5.295.136.797;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-643;no;BUG_0643;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.374.236;-52.948.382;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-644;no;BUG_0644;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;537.379.696;-5.295.169.998;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-645;no;BUG_0645;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.373.128.001;-5.295.371.097;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-646;no;BUG_0646;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.374.515.038;-5.295.561.701;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-647;no;BUG_0647;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.372.196.017;-5.295.615.999;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-648;no;BUG_0648;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.369.557;-52.963.386;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-649;no;BUG_0649;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.374.818.966;-5.295.844.398;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-650;no;BUG_0650;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.376.534.993;-5.295.724.897;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-651;no;BUG_0651;URB_MAT;Matoury;Urban green space;Urban Area;BUG;BUG;yes;4.823.788.963;-5.236.427.701;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-652;no;BUG_0652;URB_MAT;Matoury;Urban green space;Urban Area;BUG;BUG;yes;4.830.126.017;-5.235.774.198;10;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-653;no;BUG_0653;URB_REM;Remire-Montjoly;Urban green space;Urban Area;BUG;BUG;yes;4.855.341.967;-5.227.471.403;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-654;no;BUG_0654;URB_REM;Remire-Montjoly;Urban green space;Urban Area;BUG;BUG;yes;4.858.612;-52.270.676;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-655;no;BUG_0655;URB_REM;Remire-Montjoly;Urban green space;Urban Area;BUG;BUG;yes;4.905.357.035;-5.227.661.999;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-656;no;BUG_0656;URB_REM;Remire-Montjoly;Urban green space;Urban Area;BUG;BUG;yes;4.909.054.041;-5.227.549.396;9;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-657;no;BUG_0657;URB_REM;Remire-Montjoly;Urban green space;Urban Area;BUG;BUG;yes;4.912.496.991;-5.227.038.796;8;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-658;no;BUG_0658;URB_CAY;Cayenne;Urban green space;Urban Area;BUG;BUG;yes;4.932.842.972;-5.230.187.902;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-659;no;BUG_0659;URB_CAY;Cayenne;Urban green space;Urban Area;BUG;BUG;yes;4.943.905.994;-5.233.202.697;1;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-660;no;BUG_0660;URB_CAY;Cayenne;Urban green space;Urban Area;BUG;BUG;yes;4.939.985.024;-5.233.190.803;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-661;no;BUG_0661;URB_CAY;Cayenne;Urban green space;Urban Area;BUG;BUG;yes;4.939.320.004;-5.233.328.903;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-662;no;BUG_0662;URB_CAY;Cayenne;Urban green space;Urban Area;BUG;BUG;yes;4.939.486.971;-5.233.538.199;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-663;no;BUG_0663;URB_CAY;Cayenne;Urban green space;Urban Area;BUG;BUG;yes;4.940.008.996;-5.233.615.397;1;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-664;no;BUG_0664;URB_CAY;Cayenne;Urban green space;Urban Area;BUG;BUG;yes;4.937.659.968;-5.233.687.699;28;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-665;no;BUG_0665;URB_CAY;Cayenne;Urban green space;Urban Area;BUG;BUG;yes;4.933.971.767;-5.233.013.335;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-666;no;BUG_0666;URB_CAY;Cayenne;Urban green space;Urban Area;BUG;BUG;yes;4.939.615.969;-5.232.564.901;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-667;no;BUG_0667;URB_CAY;Cayenne;Urban green space;Urban Area;BUG;BUG;yes;4.940.174.222;-5.232.059.909;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-668;no;BUG_0668;URB_CAY;Cayenne;Urban green space;Urban Area;BUG;BUG;yes;494.407.204;-5.232.286.002;1;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-670;no;BUG_0670;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.475.734.573;-5.321.289.088;10;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-671;no;BUG_0671;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.477.141.971;-53.210.219;9;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-672;no;BUG_0672;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.477.138.031;-5.321.022.302;9;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-673;no;BUG_0673;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.475.854.008;-5.320.959.304;9;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-674;no;BUG_0674;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.475.648.986;-5.321.058.202;9;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-675;no;BUG_0675;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.475.159.986;-5.320.986.603;9;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-676;no;BUG_0676;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.475.699.026;-53.207.645;7;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-677;no;BUG_0677;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.476.246.029;-5.320.728.902;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-678;no;BUG_0678;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.476.965.029;-5.320.781.196;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-679;no;BUG_0679;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.480.753.984;-5.320.814.598;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-680;no;BUG_0680;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.479.420.004;-5.320.693.103;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-681;no;BUG_0681;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.479.443.977;-53.206.553;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-682;no;BUG_0682;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.479.885.032;-5.321.201.398;7;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-683;no;BUG_0683;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.478.675.021;-5.321.074.798;9;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-684;no;BUG_0684;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.478.589.023;-5.320.854.597;7;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-685;no;BUG_0685;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.478.128.018;-5.320.556.796;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-686;no;BUG_0686;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;547.972.301;-5.320.531.701;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-687;no;BUG_0687;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.480.205.975;-5.320.309.698;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-688;no;BUG_0688;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;538.425.196;-52.953.098;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-689;no;BUG_0689;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.382.574.992;-5.295.348.398;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-690;no;BUG_0690;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;538.321.604;-5.295.506.598;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-691;no;BUG_0691;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.383.071.033;-5.295.646.601;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-692;no;BUG_0692;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.384.419.011;-52.957.786;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-693;no;BUG_0693;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.380.932.977;-52.959.857;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-694;no;BUG_0694;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.379.955.983;-5.295.609.302;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-695;no;BUG_0695;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.381.408.986;-52.956.809;7;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-696;no;BUG_0696;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.379.049.983;-5.295.341.098;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-697;no;BUG_0697;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.376.547.985;-52.954.379;8;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-698;no;BUG_0698;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.379.283;-52.959.586;1;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-699;no;BUG_0699;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.377.377.961;-5.295.895.997;7;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-700;no;BUG_0700;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;537.891.604;-5.295.801.499;7;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-701;no;BUG_0701;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.378.377;-5.295.575.297;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-702;no;BUG_0702;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.377.862.016;-5.295.136.797;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-703;no;BUG_0703;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.374.236;-52.948.382;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-704;no;BUG_0704;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;537.379.696;-5.295.169.998;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-705;no;BUG_0705;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.373.128.001;-5.295.371.097;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-706;no;BUG_0706;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.374.515.038;-5.295.561.701;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-707;no;BUG_0707;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.372.196.017;-5.295.615.999;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-708;no;BUG_0708;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.369.557;-52.963.386;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-709;no;BUG_0709;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.374.818.966;-5.295.844.398;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-710;no;BUG_0710;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.376.534.993;-5.295.724.897;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-711;no;BUG_0711;URB_MAT;Matoury;Urban green space;Urban Area;BUG;BUG;yes;4.823.788.963;-5.236.427.701;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-712;no;BUG_0712;URB_MAT;Matoury;Urban green space;Urban Area;BUG;BUG;yes;4.830.126.017;-5.235.774.198;10;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-713;no;BUG_0713;URB_REM;Remire-Montjoly;Urban green space;Urban Area;BUG;BUG;yes;4.855.341.967;-5.227.471.403;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-714;no;BUG_0714;URB_REM;Remire-Montjoly;Urban green space;Urban Area;BUG;BUG;yes;4.858.612;-52.270.676;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-715;no;BUG_0715;URB_REM;Remire-Montjoly;Urban green space;Urban Area;BUG;BUG;yes;4.905.357.035;-5.227.661.999;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-716;no;BUG_0716;URB_REM;Remire-Montjoly;Urban green space;Urban Area;BUG;BUG;yes;4.909.054.041;-5.227.549.396;9;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-717;no;BUG_0717;URB_REM;Remire-Montjoly;Urban green space;Urban Area;BUG;BUG;yes;4.912.496.991;-5.227.038.796;8;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-718;no;BUG_0718;URB_CAY;Cayenne;Urban green space;Urban Area;BUG;BUG;yes;4.932.842.972;-5.230.187.902;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-719;no;BUG_0719;URB_CAY;Cayenne;Urban green space;Urban Area;BUG;BUG;yes;4.943.905.994;-5.233.202.697;1;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-720;no;BUG_0720;URB_CAY;Cayenne;Urban green space;Urban Area;BUG;BUG;yes;4.939.985.024;-5.233.190.803;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-721;no;BUG_0721;URB_CAY;Cayenne;Urban green space;Urban Area;BUG;BUG;yes;4.939.320.004;-5.233.328.903;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-722;no;BUG_0722;URB_CAY;Cayenne;Urban green space;Urban Area;BUG;BUG;yes;4.939.486.971;-5.233.538.199;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-723;no;BUG_0723;URB_CAY;Cayenne;Urban green space;Urban Area;BUG;BUG;yes;4.940.008.996;-5.233.615.397;1;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-724;no;BUG_0724;URB_CAY;Cayenne;Urban green space;Urban Area;BUG;BUG;yes;4.937.659.968;-5.233.687.699;28;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-725;no;BUG_0725;URB_CAY;Cayenne;Urban green space;Urban Area;BUG;BUG;yes;4.933.971.767;-5.233.013.335;2;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-726;no;BUG_0726;URB_CAY;Cayenne;Urban green space;Urban Area;BUG;BUG;yes;4.939.615.969;-5.232.564.901;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-727;no;BUG_0727;URB_CAY;Cayenne;Urban green space;Urban Area;BUG;BUG;yes;4.940.174.222;-5.232.059.909;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-728;no;BUG_0728;URB_CAY;Cayenne;Urban green space;Urban Area;BUG;BUG;yes;494.407.204;-5.232.286.002;1;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-730;no;BUG_0730;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.475.734.573;-5.321.289.088;10;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-731;no;BUG_0731;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.477.141.971;-53.210.219;9;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-732;no;BUG_0732;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.477.138.031;-5.321.022.302;9;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-733;no;BUG_0733;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.475.854.008;-5.320.959.304;9;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-734;no;BUG_0734;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.475.648.986;-5.321.058.202;9;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-735;no;BUG_0735;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.475.159.986;-5.320.986.603;9;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-736;no;BUG_0736;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.475.699.026;-53.207.645;7;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-737;no;BUG_0737;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.476.246.029;-5.320.728.902;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-738;no;BUG_0738;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.476.965.029;-5.320.781.196;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-739;no;BUG_0739;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.480.753.984;-5.320.814.598;3;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-740;no;BUG_0740;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.479.420.004;-5.320.693.103;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-741;no;BUG_0741;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.479.443.977;-53.206.553;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-742;no;BUG_0742;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.479.885.032;-5.321.201.398;7;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-743;no;BUG_0743;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.478.675.021;-5.321.074.798;9;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-744;no;BUG_0744;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.478.589.023;-5.320.854.597;7;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-745;no;BUG_0745;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.478.128.018;-5.320.556.796;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-746;no;BUG_0746;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;547.972.301;-5.320.531.701;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-747;no;BUG_0747;URB_IRA;Iracoubo;Urban green space;Urban Area;BUG;BUG;yes;5.480.205.975;-5.320.309.698;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-748;no;BUG_0748;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;538.425.196;-52.953.098;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-749;no;BUG_0749;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.382.574.992;-5.295.348.398;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-750;no;BUG_0750;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;538.321.604;-5.295.506.598;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-751;no;BUG_0751;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.383.071.033;-5.295.646.601;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-752;no;BUG_0752;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.384.419.011;-52.957.786;4;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-753;no;BUG_0753;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.380.932.977;-52.959.857;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-754;no;BUG_0754;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.379.955.983;-5.295.609.302;5;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-755;no;BUG_0755;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.381.408.986;-52.956.809;7;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-756;no;BUG_0756;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.379.049.983;-5.295.341.098;6;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-757;no;BUG_0757;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.376.547.985;-52.954.379;8;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
BUG-758;no;BUG_0758;URB_SIN;Sinnamary;Urban green space;Urban Area;BUG;BUG;yes;5.379.283;-52.959.586;1;no;no;NA;NA;NA;NA;NA;NA;NA;NA;NA
