plot_id;tokeep_NEF;alternative_plot_id;site_id;site_name;habitat;habitat_simple;project;seq_run;fg_soil_project;latitude;longitude;altitude;eDNA_sequence_data_available;phys_chem_data_available;phys_chem_patches_analyzed;clay;silt;sand;pH;TN;OC;CN;AP
CABE1;ask;CABE1;CABE;Ferme Burban;Pasture;Pasture;BING;BING;yes;501.178;-5.263.573;11;yes;yes;1;10.265;460.595;529.155;5.41;0.10525;137.345;1.304.937;0.6151
CABE2;ask;CABE2;CABE;Ferme Burban;Pasture;Pasture;BING;BING;yes;500.921;-5.263.306;22;yes;yes;1;13.975;443.865;542.185;5.2;0.10136;132.736;1.309.534;0.38556
CAM;yes;CAM;CAM;Cambior;Terra Firme;Terra Firme;DIAMOND;DIAMOND;yes;455.737;-5.220.909;NA;yes;yes;1;44.525;27.575;27.9;5.54;58.925;84.2;1.429.270.615;0.0075
Camp1;ask;Campus_P1;CAMP;Campus Kourou;White-Sand;White-Sand;BING;BING;yes;517.252;-5.265.453;4;yes;no;1;NA;NA;NA;NA;NA;NA;NA;1.3
Camp2;ask;Campus_P2;CAMP;Campus Kourou;White-Sand;White-Sand;BING;BING;yes;517.277;-5.265.516;2;yes;yes;NA;3.075;1.4;95.525;47.175;0.945;17.525;1.834.885;0.96
CAMPK;yes;CAMPK;CAMP;Campus Kourou;White-Sand;White-Sand;DIAMOND;DIAMOND;yes;5.173.301;-52.654.597;NA;yes;yes;1;3.075;1.4;95.525;47.175;0.945;17.525;1.834.884.804;0.009
CAY2;yes;CAY2;CAY;Montabo;Terra Firme;Terra Firme;DIAMOND;DIAMOND;yes;49.497;-5.230.546;NA;yes;yes;NA;31.275;13.7;55.025;60.725;2.58;32.1;1.246.222;0.0105
CAY3;yes;CAY3;CAY;Bourda;Terra Firme;Terra Firme;DIAMOND;DIAMOND;yes;493.856;-5.228.857;NA;yes;yes;NA;60.625;14.6;24.775;50.725;28.775;44.2;1.533.905;0.00775
CGBF;yes;CGBF;CG;Crique Grosse Roche;Seasonally Flooded Forest;Seasonally Flooded Forest;DIAMOND;DIAMOND;yes;526.184;-5.332.068;41;yes;yes;NA;18.1;8.45;73.45;52.975;38.325;55.825;1.433.559;0.03175
CGTF;yes;CGTF;CG;Crique Grosse Roche;Terra Firme;Terra Firme;DIAMOND;DIAMOND;yes;52.597;-5.332.333;71;yes;yes;NA;53.65;8.65;37.7;5.12;4.405;63.875;1.450.076;0.00875
CNBF;yes;CNBF;CN;Counami;Seasonally Flooded Forest;Seasonally Flooded Forest;DIAMOND;DIAMOND;yes;538.873;-5.326.998;24;yes;yes;NA;17.85;3.225;78.925;5.145;3.05;47.275;1.564.987;0.02
CNTF;yes;CNTF;CN;Counami;Terra Firme;Terra Firme;DIAMOND;DIAMOND;yes;538.739;-5.332.068;48;yes;yes;NA;29.35;3.925;66.725;53.275;22.275;34.725;1.555.725;0.008
COOTF;yes;COTF;COO;Coralie Est;Terra Firme;Terra Firme;DIAMOND;DIAMOND;yes;448.035;-5.242.752;NA;yes;yes;NA;51.1;13.3;35.6;50.375;4.33;64.425;1.491.704;0.00825
CRLBF;yes;CRLBF;CRL;Crique Loutre;Seasonally Flooded Forest;Seasonally Flooded Forest;DIAMOND;DIAMOND;yes;527.928;-5.351.291;65;yes;yes;NA;11.35;6.275;82.375;54.775;1.76;26.8;1.520.646;0.0155
