"PermanentID","latitude","longitude","grupo_espacial","To_keep"
"GF01014497S",-54.46289,-67.52086,317,"yes"
"GF01014489S",-44.83401,-71.72761,318,"yes"
"GF01014488S",-40.1329,-71.6671,319,"yes"
"GF01014485S",17.1666,-96.635,320,"yes"
"GF01006160S",-12.99888889,-41.04861111,336,"yes"
"GF01006080S",4.550591667,-52.02464167,340,"yes"
"GF01006071S",4.80627,-52.17409,341,"yes"
"GF01000691S",-16.2245,-67.67655556,347,"yes"
"GF01000690S",-16.11404167,-67.1997,348,"yes"
"GF01000689S",-16.121915,-67.71937,349,"yes"
"GF01000688S",-16.29055556,-67.86944444,350,"yes"
"GF01000687S",-16.24402778,-67.66419444,351,"yes"
"GF01000686S",-16.25494444,-67.69822222,352,"yes"
"GF01000685S",-16.28419444,-67.57266667,353,"yes"
"GF01000684S",-16.47205556,-67.44008333,354,"yes"
"GF01000683S",-16.27611111,-68.6333333,355,"yes"
"GF01000682S",-16.38099444,-67.51694722,356,"yes"
"GF01000681S",-16.28875,-67.569,357,"yes"
"GF01000680S",-16.76069444,-67.20977778,358,"yes"
"GF01000679S",-16.25436111,-67.6975,359,"yes"
"GF01000678S",-16.131915,-67.71937,360,"yes"
"GF01000677S",-17.8491667,-67.22097222,361,"yes"
"GF01000676S",-16.28055556,-67.87944444,362,"yes"
"GF01000675S",-16.43338889,-67.46844444,363,"yes"
"GF01000674S",-16.75069444,-67.20977778,364,"yes"
"GF01000673S",-16.75330556,-67.22875,365,"yes"
"GF01000672S",-16.40288889,-67.47805556,366,"yes"
"GF01000671S",-16.42875,-67.46738889,367,"yes"
"GF05031199S",-6.01288,-50.301,2,"no"
"GF05031198S",-6.05585,-50.2536,3,"no"
"GF05031195S",-6.394,-50.3778,5,"no"
"GF05031192S",-6.37718,-50.3839,7,"no"
"GF05031191S",-6.37827,-50.3835,8,"no"
"GF05031186S",-6.35133,-50.3998,10,"no"
"GF05031178S",-6.34896,-50.4428,17,"no"
"GF05031174S",-6.34907,-50.4351,20,"no"
"GF05031168S",-6.33327,-49.9634,25,"no"
"GF05031166S",-6.04904,-50.2851,26,"no"
"GF05031165S",-6.3289,-49.9354,27,"no"
"GF05031164S",-6.32885,-49.936,28,"no"
"GF05031000S",-19.282,-43.596,36,"no"
"GF05030178S",-40.19628333,-73.43548333,37,"no"
"GF05030172S",-40.19858333,-73.43145,38,"no"
"GF05030169S",-37.78791667,-72.99783333,39,"no"
"GF05030166S",-37.81586667,-73.00896667,40,"no"
"GF05030163S",-39.60133333,-72.09656667,41,"no"
"GF05030160S",-39.6012,-72.11831667,42,"no"
"GF05030157S",-38.19981667,-71.81073333,43,"no"
"GF05030155S",-38.20496667,-71.8174,44,"no"
"GF05030153S",-40.75921667,-72.29763333,45,"no"
"GF05030150S",-40.77673333,-72.19783333,46,"no"
"GF05028240S",-37.08,-71.65,61,"no"
"GF05028237S",-37.076,-71.644,62,"no"
"GF05028234S",-37.07,-71.64,63,"no"
"GF05028231S",-37.06,-71.64,64,"no"
"GF05028214S",-3.98242197,-79.08202859,65,"no"
"GF05028202S",-3.98109502,-79.08279602,66,"no"
"GF05028190S",-3.98086958,-79.08327461,67,"no"
"GF05028178S",-3.98008401,-79.0836453,68,"no"
"GF05026772S",8.812,-82.5103,80,"no"
"GF05026770S",8.8097,-82.5151,81,"no"
"GF05026767S",8.8112,-82.5594,83,"no"
"GF05026765S",8.7223,-82.2388,84,"no"
"GF05026760S",9.2592,-82.1541,88,"no"
"GF05026758S",8.0976,-82.366,89,"no"
"GF05026504S",20.483,-97.5025,90,"no"
"GF05026494S",20.505,-97.8894,91,"no"
"GF05026485S",20.4169,-97.3022,92,"no"
"GF05026472S",20.1791,-96.9036,93,"no"
"GF05024211S",-3.59,-79.08,94,"no"
"GF05023587S",-26.0949,-54.4452,96,"no"
"GF05023582S",-26.1669,-54.4414,100,"no"
"GF05016792S",19.55,-98.73,102,"no"
"GF05015579S",-38.660708,-72.600044,103,"no"
"GF05015576S",-38.658297,-72.60025,104,"no"
"GF05015289S",13.8186,-89.58166,105,"no"
"GF05015286S",13.8281,-89.5695,106,"no"
"GF05015274S",13.8075,-89.5992,107,"no"
"GF05015002S",30.576977,-84.949673,108,"no"
"GF05014995S",30.57676,-84.951142,109,"no"
"GF05014994S",30.577019,-84.950917,110,"no"
"GF05011325S",-20.720917,-42.481667,112,"no"
"GF05011154S",9.15,-79.85,113,"no"
"GF05011091S",18.3,-65.8,114,"no"
"GF05003613S",-22.783083,-48.412028,115,"no"
"GF05003608S",-22.818444,-48.393528,118,"no"
"GF05003605S",-22.814611,-48.401722,120,"no"
"GF05003601S",-22.893361,-48.495056,121,"no"
"GF05003599S",-22.892056,-48.493972,122,"no"
"GF05003598S",-22.891389,-48.453639,123,"no"
"GF05003597S",-22.870306,-48.460389,124,"no"
"GF05003591S",-22.786639,-48.410611,125,"no"
"GF05003589S",-22.786361,-48.408778,126,"no"
"GF05003587S",-22.885667,-48.506972,127,"no"
"GF05003583S",-22.817222,-48.393833,128,"no"
"GF05003581S",-22.839194,-48.427806,129,"no"
"GF05003573S",-22.843667,-48.427889,130,"no"
"GF05000020S",10.32525,-84.8405,137,"no"
"GF05000017S",10.327194,-84.842111,140,"no"
"GF04017647S",-32.0725556,-64.86466667,155,"no"
"GF04017645S",-32.0506667,-64.93383333,156,"no"
"GF04017644S",-32.0390278,-64.75069444,157,"no"
"GF04017643S",-32.0539722,-64.89566667,158,"no"
"GF04008187S",29.23005,-103.37832,159,"no"
"GF04008186S",30.34736,-104.04668,160,"no"
"GF04008185S",29.27425,-103.28608,161,"no"
"GF04008171S",32.16806,-107.75105,162,"no"
"GF04008167S",32.74914,-108.2876,163,"no"
"GF04008166S",32.03624,-107.64451,164,"no"
"GF04008159S",30.34758,-104.03952,165,"no"
"GF04008136S",31.09185,-94.26535,166,"no"
"GF04008135S",30.1847,-97.8675,167,"no"
"GF04008133S",32.79587,-108.18346,168,"no"
"GF04008132S",29.39087,-95.03443,169,"no"
"GF04008131S",30.18225,-97.87452,170,"no"
"GF04008125S",31.95908,-104.76002,171,"no"
"GF04008077S",30.18331,-97.8768,172,"no"
"GF04007966S",30.69382,-104.12415,173,"no"
"GF04007500S",-23.033333,-48.633333,174,"no"
"GF04001218S",-21.30638889,-48.35194444,178,"no"
"GF03005834S",-2.8719,-79.1188,179,"no"
"GF03005833S",-2.8433,-79.1436,180,"no"
"GF03005830S",-2.8405,-79.1747,181,"no"
"GF03005817S",-2.8702,-79.1238,182,"no"
"GF03004312S",32.713756,-117.225474,183,"no"
"GF03003969S",9.415447,-82.330771,184,"no"
"GF02000534S",22.246529,-99.655561,186,"no"
"GF02000530S",22.64831,-99.894557,187,"no"
"GF02000528S",-41.807778,-69.676417,188,"no"
"GF02000526S",-30.662263,-71.663635,189,"no"
"GF02000522S",-41.0335,-70.524528,190,"no"
"GF02000516S",22.644511,-100.420636,191,"no"
"GF02000496S",-29.749902,-71.250724,192,"no"
"GF02000484S",-41.253333,-70.080944,193,"no"
"GF02000464S",23.601688,-100.943528,195,"no"
"GF02000463S",9.666497,-69.946911,196,"no"
"GF02000454S",22.352438,-102.455579,197,"no"
"GF02000448S",-29.311377,-71.244902,198,"no"
"GF02000411S",-31.199813,-71.585444,201,"no"
"GF02000036S",-28.769445,-70.964722,202,"no"
"GF02000034S",-27.467576,-70.8394,203,"no"
"GF02000029S",-29.2930554,-71.02944,204,"no"
"GF01016928S",31.11,-95.15,250,"no"
"GF01014788S",-0.3919,-72.046,261,"no"
"GF01014745S",5.305306,-59.925056,270,"no"
"GF01012501S",30.75,-84,321,"no"
"GF01006197S",5.302186111,-53.04910278,322,"no"
"GF01006196S",5.543888889,-53.49694444,323,"no"
"GF01006194S",5.473611111,-53.58083333,324,"no"
"GF01006193S",5.28,-52.91793333,325,"no"
"GF01006192S",5.066388889,-52.68472222,326,"no"
"GF01006191S",5.471666667,-53.57722222,327,"no"
"GF01006188S",-14.21777778,-39.96666667,328,"no"
"GF01006187S",4.195166667,-52.14958333,329,"no"
"GF01006185S",5.135519444,-53.04910278,330,"no"
"GF01006183S",-14.46805556,-39.06805556,331,"no"
"GF01006181S",5.3,-53.6,332,"no"
"GF01006175S",-13.56805556,-39.70694444,333,"no"
"GF01006173S",-15.24805556,-39.06805556,334,"no"
"GF01006167S",5.533333333,-53.56583333,335,"no"
"GF01006141S",-13.58,-39.69555556,337,"no"
"GF01006138S",5.745861111,-53.93527778,338,"no"
"GF01006133S",-14.46805556,-39.10805556,339,"no"
"GF01004831S",10.002322,-69.648175,342,"no"
"GF01004830S",23.254883,-101.055406,343,"no"
"GF01004828S",23.204697,-101.273809,344,"no"
"GF01004778S",9.767953,-69.8208,345,"no"
"GF01004776S",23.737999,-101.248559,346,"no"
