plot_id,alternative_plot_id,site_id,site_name,habitat,habitat_simple,project,seq_run,fg_soil_project,latitude,longitude,altitude,eDNA_sequence_data_available,phys_chem_data_available,phys_chem_patches_analyzed,clay,silt,sand,pH,TN,OC,CN,AP
CGTF,CGTF,CG,Crique Grosse Roche,Terra Firme,Terra Firme,DIAMOND,DIAMOND,yes,5.2597,-53.32333,71,yes,yes,NA,53.65,8.65,37.7,5.12,4.405,63.875,14.50076,0.00875
CNBF,CNBF,CN,Counami,Seasonally Flooded Forest,Seasonally Flooded Forest,DIAMOND,DIAMOND,yes,5.38873,-53.26998,24,yes,yes,NA,17.85,3.225,78.925,5.145,3.05,47.275,15.64987,0.02
CNTF,CNTF,CN,Counami,Terra Firme,Terra Firme,DIAMOND,DIAMOND,yes,5.38739,-53.32068,48,yes,yes,NA,29.35,3.925,66.725,5.3275,2.2275,34.725,15.55725,0.008
COOTF,COTF,COO,Coralie Est,Terra Firme,Terra Firme,DIAMOND,DIAMOND,yes,4.48035,-52.42752,NA,yes,yes,NA,51.1,13.3,35.6,5.0375,4.33,64.425,14.91704,0.00825
CRLBF,CRLBF,CRL,Crique Loutre,Seasonally Flooded Forest,Seasonally Flooded Forest,DIAMOND,DIAMOND,yes,5.27928,-53.51291,65,yes,yes,NA,11.35,6.275,82.375,5.4775,1.76,26.8,15.20646,0.0155
CRLTF,CRLTF,CRL,Crique Loutre,Terra Firme,Terra Firme,DIAMOND,DIAMOND,yes,5.27638,-53.51513,127,yes,yes,NA,54,9.275,36.725,5.0275,4.05,61.725,15.24859,0.00625
CSG1,CSG61,CSG,Centre Spatial Guyanais,White-Sand,White-Sand,DIADEMA,DIAMOND,yes,5.226,-52.83611,42,yes,yes,NA,3.66667,1.13333,95.2,4.96667,0.078,0.93667,11.43667,14.23
CSG2,CSG62,CSG,Centre Spatial Guyanais,Terra Firme,Terra Firme,DIADEMA,DIAMOND,yes,5.24142,-52.83857,45,yes,yes,NA,17.83333,5.2,76.96667,5.13333,0.07133,1.12,15.37667,11.75667
CSG3,CSG63,CSG,Centre Spatial Guyanais,Seasonally Flooded Forest,Seasonally Flooded Forest,DIADEMA,DIAMOND,yes,5.23927,-52.83829,45,yes,yes,NA,13.83333,7.7,78.46667,4.93333,0.20867,3.35333,17.82667,16.16667
CSG4,CSG64,CSG,Centre Spatial Guyanais,White-Sand,White-Sand,DIADEMA,DIAMOND,yes,5.174,-52.87101,63,no,yes,NA,2,1.83333,96.16667,4.54333,0.07267,1.20333,16.54,10.58
