plot_id,alternative_plot_id,site_id,site_name,habitat,habitat_simple,project,seq_run,fg_soil_project,latitude,longitude,altitude,eDNA_sequence_data_available,phys_chem_data_available,phys_chem_patches_analyzed,clay,silt,sand,pH,TN,OC,CN,AP  
BUG-405,BUG_0405,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,3.166199923,-52.33560181,65,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-406,BUG_0406,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,3.16079998,-52.3348999,54,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-407,BUG_0407,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,3.171999931,-52.35760117,53,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-408,BUG_0408,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,3.166100025,-52.33300018,155,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-410,BUG_0410,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,3.167200089,-52.32260132,88,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-411,BUG_0411,URB_CAM,Camopi,Schoolyard,Urban Area,BUG,BUG,yes,3.164599895,-52.33649826,71,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-416,BUG_0416,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,3.16689992,-52.33300018,60,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-417,BUG_0417,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,3.164099932,-52.33509827,67,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-418,BUG_0418,URB_CAM,Camopi,Schoolyard,Urban Area,BUG,BUG,yes,3.166500092,-52.33539963,65,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-419,BUG_0419,URB_CAM,Camopi,Schoolyard,Urban Area,BUG,BUG,yes,3.164599895,-52.33649826,71,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-420,BUG_0420,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-421,BUG_0421,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,3.170000076,-52.34820175,62,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-422,BUG_0422,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,3.161299944,-52.33409882,55,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-423,BUG_0423,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-424,BUG_0424,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,3.170700073,-52.35509872,54,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-428,BUG_0428,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,3.172499895,-52.32730103,54,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-432,BUG_0432,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,3.171200037,-52.34120178,53,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-434,BUG_0434,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,3.182899952,-52.38990021,52,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-435,BUG_0435,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-437,BUG_0437,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,3.1401999,-52.33850098,67,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-438,BUG_0438,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-439,BUG_0439,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-440,BUG_0440,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,3.139400005,-52.33610153,59,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-443,BUG_0443,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,3.16989994,-52.33140182,52,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-444,BUG_0444,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,3.158799887,-52.33509827,58,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-447,BUG_0447,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,3.179199934,-52.38150024,55,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-451,BUG_0451,URB_CAM,Camopi,Garden,Urban Area,BUG,BUG,yes,3.178499937,-52.38150024,61,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-453,BUG_0453,URB_ROU,Roura,Schoolyard,Urban Area,BUG,BUG,yes,4.73210001,-52.32189941,7,yes,yes,1,8.4225,39.156,52.4275,6.06,0.067226365,1.331166744,19.80125907,1
BUG-464,BUG_0464,URB_ROU,Roura,Garden,Urban Area,BUG,BUG,yes,4.738200188,-52.32049942,7,no,yes,1,20.961,53.1135,25.929,5.4,0.232268721,4.222621918,18.17989901,37.712
BUG-468,BUG_0468,URB_ROU,Roura,Schoolyard,Urban Area,BUG,BUG,yes,4.73210001,-52.32189941,7,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-470,BUG_0470,URB_ROU,Roura,Garden,Urban Area,BUG,BUG,yes,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-474,BUG_0474,URB_ROU,Roura,Garden,Urban Area,BUG,BUG,yes,4.727200031,-52.32720184,13,no,yes,1,13.0145,44.3395,42.6505,6.41,0.187307984,3.860512018,20.61050463,31.552
BUG-475,BUG_0475,URB_ROU,Roura,Garden,Urban Area,BUG,BUG,yes,4.725399971,-52.32170105,28,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-476,BUG_0476,URB_ROU,Roura,Garden,Urban Area,BUG,BUG,yes,4.730000019,-52.32479858,12,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-479,BUG_0479,URB_ROU,Roura,Garden,Urban Area,BUG,BUG,yes,4.732299805,-52.32249832,6,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-481,BUG_0481,URB_ROU,Roura,Garden,Urban Area,BUG,BUG,yes,4.718200207,-52.27999878,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-483,BUG_0483,URB_ROU,Roura,Garden,Urban Area,BUG,BUG,yes,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-486,BUG_0486,URB_ROU,Roura,Garden,Urban Area,BUG,BUG,yes,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-487,BUG_0487,URB_ROU,Roura,Garden,Urban Area,BUG,BUG,yes,4.724899769,-52.3207016,23,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-488,BUG_0488,URB_ROU,Roura,Garden,Urban Area,BUG,BUG,yes,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-489,BUG_0489,URB_ROU,Roura,Garden,Urban Area,BUG,BUG,yes,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-491,BUG_0491,URB_ROU,Roura,Garden,Urban Area,BUG,BUG,yes,4.73210001,-52.32189941,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-493,BUG_0493,URB_MAN,Mana,Schoolyard,Urban Area,BUG,BUG,yes,5.671599865,-53.77690125,6,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-494,BUG_0494,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,5.632599831,-53.87649918,8,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-495,BUG_0495,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,5.636499882,-53.87549973,1,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-496,BUG_0496,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,5.669400215,-53.78499985,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-497,BUG_0497,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,5.631000042,-53.87739944,2,yes,yes,1,13.0595,30.012,56.93,7.58,0.010489061,0.281174481,26.80644976,0.928
BUG-499,BUG_0499,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,5.622300148,-53.625,4,yes,yes,1,9.3475,53.1155,37.536,5.72,0.112251759,1.989909649,17.72720267,16.08
BUG-501,BUG_0501,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,5.629899979,-53.87630081,6,yes,yes,1,7.782,30.314,61.9065,4.9,0.022273114,0.607929707,27.29432759,0.704
BUG-502,BUG_0502,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,5.647099972,-53.86859894,6,yes,yes,1,4.925,33.1835,57.971,6.24,0.069159992,1.575103998,22.77478535,6.848
BUG-503,BUG_0503,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,5.607299805,-53.88539886,3,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-504,BUG_0504,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,5.635399818,-53.87580109,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-505,BUG_0505,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,5.577899933,-53.89479828,5,yes,yes,1,0.9555,16.561,82.067,6.81,0.005699222,0.19937329,34.98254776,3.896
BUG-506,BUG_0506,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,5.583300114,-53.89120102,3,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-507,BUG_0507,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,5.636499882,-53.87549973,3,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-509,BUG_0509,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,5.660399914,-53.76929855,1,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-510,BUG_0510,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,5.669300079,-53.77759933,4,yes,yes,1,0.2625,6.0375,91.8485,6.78,0.006126435,0.232570782,37.96184244,4.048
BUG-511,BUG_0511,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,5.670199871,-53.77730179,5,no,yes,1,0.4565,14.0135,82.4435,6.77,0.045059726,1.05456233,23.40365761,13.296
BUG-512,BUG_0512,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,5.666699886,-53.76670074,8,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-513,BUG_0513,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,5.568099976,-53.88029861,15,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-514,BUG_0514,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,5.667200089,-53.77840042,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-515,BUG_0515,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,5.669300079,-53.78540039,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-516,BUG_0516,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-517,BUG_0517,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,5.669700146,-53.7779007,5,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-518,BUG_0518,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,5.615799904,-53.69929886,4,yes,yes,1,4.112,42.1305,53.7615,6.07,0.069535211,1.495548368,21.50778487,11.024
BUG-519,BUG_0519,URB_MAN,Mana,Schoolyard,Urban Area,BUG,BUG,yes,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-535,BUG_0535,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-547,BUG_0547,URB_MAN,Mana,Garden,Urban Area,BUG,BUG,yes,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-551,BUG_0551,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.475734573,-53.21289088,10,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-552,BUG_0552,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.477141971,-53.210219,9,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-553,BUG_0553,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.477138031,-53.21022302,9,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-554,BUG_0554,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.475854008,-53.20959304,9,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-555,BUG_0555,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.475648986,-53.21058202,9,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-556,BUG_0556,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.475159986,-53.20986603,9,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-557,BUG_0557,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.475699026,-53.207645,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-558,BUG_0558,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.476246029,-53.20728902,6,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-559,BUG_0559,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.476965029,-53.20781196,6,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-560,BUG_0560,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.480753984,-53.20814598,3,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-561,BUG_0561,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.479420004,-53.20693103,5,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-562,BUG_0562,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.479443977,-53.206553,5,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-563,BUG_0563,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.479885032,-53.21201398,7,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-564,BUG_0564,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.478675021,-53.21074798,9,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-565,BUG_0565,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.478589023,-53.20854597,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-566,BUG_0566,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.478128018,-53.20556796,4,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-567,BUG_0567,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.47972301,-53.20531701,5,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-568,BUG_0568,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.480205975,-53.20309698,4,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-569,BUG_0569,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.38425196,-52.953098,6,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-570,BUG_0570,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.382574992,-52.95348398,6,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-571,BUG_0571,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.38321604,-52.95506598,6,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-572,BUG_0572,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.383071033,-52.95646601,4,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-573,BUG_0573,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.384419011,-52.957786,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-574,BUG_0574,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.380932977,-52.959857,6,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-575,BUG_0575,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.379955983,-52.95609302,5,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-576,BUG_0576,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.381408986,-52.956809,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-577,BUG_0577,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.379049983,-52.95341098,6,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-578,BUG_0578,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.376547985,-52.954379,8,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-579,BUG_0579,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.379283,-52.959586,1,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-580,BUG_0580,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.377377961,-52.95895997,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-581,BUG_0581,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.37891604,-52.95801499,7,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-582,BUG_0582,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.378377,-52.95575297,5,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-583,BUG_0583,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.377862016,-52.95136797,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-584,BUG_0584,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.374236,-52.948382,6,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-585,BUG_0585,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.37379696,-52.95169998,5,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-586,BUG_0586,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.373128001,-52.95371097,2,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-587,BUG_0587,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.374515038,-52.95561701,2,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-588,BUG_0588,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.372196017,-52.95615999,3,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-589,BUG_0589,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.369557,-52.963386,6,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-590,BUG_0590,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.374818966,-52.95844398,4,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-591,BUG_0591,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.376534993,-52.95724897,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-592,BUG_0592,URB_MAT,Matoury,Urban green space,Urban Area,BUG,BUG,yes,4.823788963,-52.36427701,6,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-593,BUG_0593,URB_MAT,Matoury,Urban green space,Urban Area,BUG,BUG,yes,4.830126017,-52.35774198,10,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-594,BUG_0594,URB_REM,Remire-Montjoly,Urban green space,Urban Area,BUG,BUG,yes,4.855341967,-52.27471403,3,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-595,BUG_0595,URB_REM,Remire-Montjoly,Urban green space,Urban Area,BUG,BUG,yes,4.858612,-52.270676,3,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-596,BUG_0596,URB_REM,Remire-Montjoly,Urban green space,Urban Area,BUG,BUG,yes,4.905357035,-52.27661999,6,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-597,BUG_0597,URB_REM,Remire-Montjoly,Urban green space,Urban Area,BUG,BUG,yes,4.909054041,-52.27549396,9,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-598,BUG_0598,URB_REM,Remire-Montjoly,Urban green space,Urban Area,BUG,BUG,yes,4.912496991,-52.27038796,8,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-599,BUG_0599,URB_CAY,Cayenne,Urban green space,Urban Area,BUG,BUG,yes,4.932842972,-52.30187902,5,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-600,BUG_0600,URB_CAY,Cayenne,Urban green space,Urban Area,BUG,BUG,yes,4.943905994,-52.33202697,1,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-601,BUG_0601,URB_CAY,Cayenne,Urban green space,Urban Area,BUG,BUG,yes,4.939985024,-52.33190803,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-602,BUG_0602,URB_CAY,Cayenne,Urban green space,Urban Area,BUG,BUG,yes,4.939320004,-52.33328903,5,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-603,BUG_0603,URB_CAY,Cayenne,Urban green space,Urban Area,BUG,BUG,yes,4.939486971,-52.33538199,6,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-604,BUG_0604,URB_CAY,Cayenne,Urban green space,Urban Area,BUG,BUG,yes,4.940008996,-52.33615397,1,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-605,BUG_0605,URB_CAY,Cayenne,Urban green space,Urban Area,BUG,BUG,yes,4.937659968,-52.33687699,28,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-606,BUG_0606,URB_CAY,Cayenne,Urban green space,Urban Area,BUG,BUG,yes,4.933971767,-52.33013335,2,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-607,BUG_0607,URB_CAY,Cayenne,Urban green space,Urban Area,BUG,BUG,yes,4.939615969,-52.32564901,4,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-608,BUG_0608,URB_CAY,Cayenne,Urban green space,Urban Area,BUG,BUG,yes,4.940174222,-52.32059909,3,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-609,BUG_0609,URB_CAY,Cayenne,Urban green space,Urban Area,BUG,BUG,yes,4.94407204,-52.32286002,1,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-610,BUG_0610,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.475734573,-53.21289088,10,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-611,BUG_0611,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.477141971,-53.210219,9,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-612,BUG_0612,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.477138031,-53.21022302,9,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-613,BUG_0613,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.475854008,-53.20959304,9,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-614,BUG_0614,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.475648986,-53.21058202,9,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-615,BUG_0615,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.475159986,-53.20986603,9,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-616,BUG_0616,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.475699026,-53.207645,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-617,BUG_0617,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.476246029,-53.20728902,6,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-618,BUG_0618,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.476965029,-53.20781196,6,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-619,BUG_0619,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.480753984,-53.20814598,3,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-620,BUG_0620,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.479420004,-53.20693103,5,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-621,BUG_0621,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.479443977,-53.206553,5,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-622,BUG_0622,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.479885032,-53.21201398,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-623,BUG_0623,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.478675021,-53.21074798,9,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-624,BUG_0624,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.478589023,-53.20854597,7,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-625,BUG_0625,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.478128018,-53.20556796,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-626,BUG_0626,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.47972301,-53.20531701,5,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-627,BUG_0627,URB_IRA,Iracoubo,Urban green space,Urban Area,BUG,BUG,yes,5.480205975,-53.20309698,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUG-628,BUG_0628,URB_SIN,Sinnamary,Urban green space,Urban Area,BUG,BUG,yes,5.38425196,-52.953098,6,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
