"","new.ID","PermanentID","sequencing_platform","NEF.dataset"
"1584","NEF_GloFung-its1_564_2021","GF04004433S","Illumina","ITS1"
"1585","NEF_GloFung-its1_565_2021","GF04004432S","Illumina","ITS1"
"1586","NEF_GloFung-its1_568_2021","GF04004431S","Illumina","ITS1"
"1587","NEF_GloFung-its1_568_2021","GF04004430S","Illumina","ITS1"
"1588","NEF_GloFung-its1_570_2021","GF04004429S","Illumina","ITS1"
"1589","NEF_GloFung-its1_569_2021","GF04004428S","Illumina","ITS1"
"1590","NEF_GloFung-its1_566_2021","GF04004427S","Illumina","ITS1"
"1591","NEF_GloFung-its1_568_2021","GF04004426S","Illumina","ITS1"
"1592","NEF_GloFung-its1_567_2021","GF04004425S","Illumina","ITS1"
"1593","NEF_GloFung-its1_570_2021","GF04004424S","Illumina","ITS1"
"1594","NEF_GloFung-its1_581_2021","GF04004423S","Illumina","ITS1"
"1595","NEF_GloFung-its1_568_2021","GF04004422S","Illumina","ITS1"
"1596","NEF_GloFung-its1_568_2021","GF04004421S","Illumina","ITS1"
"1597","NEF_GloFung-its1_569_2021","GF04004420S","Illumina","ITS1"
"1598","NEF_GloFung-its1_567_2021","GF04004419S","Illumina","ITS1"
"1599","NEF_GloFung-its1_575_2021","GF04004418S","Illumina","ITS1"
"1600","NEF_GloFung-its1_567_2021","GF04004417S","Illumina","ITS1"
"1601","NEF_GloFung-its1_572_2021","GF04004416S","Illumina","ITS1"
"1602","NEF_GloFung-its1_567_2021","GF04004415S","Illumina","ITS1"
"1603","NEF_GloFung-its1_567_2021","GF04004414S","Illumina","ITS1"
"1604","NEF_GloFung-its1_583_2021","GF04004413S","Illumina","ITS1"
"1605","NEF_GloFung-its1_566_2021","GF04004412S","Illumina","ITS1"
"1606","NEF_GloFung-its1_585_2021","GF04004411S","Illumina","ITS1"
"1607","NEF_GloFung-its1_567_2021","GF04004410S","Illumina","ITS1"
"1608","NEF_GloFung-its1_568_2021","GF04004409S","Illumina","ITS1"
"1609","NEF_GloFung-its1_565_2021","GF04004408S","Illumina","ITS1"
"1610","NEF_GloFung-its1_588_2021","GF04004407S","Illumina","ITS1"
"1611","NEF_GloFung-its1_567_2021","GF04004406S","Illumina","ITS1"
"1612","NEF_GloFung-its1_579_2021","GF04004405S","Illumina","ITS1"
"1613","NEF_GloFung-its1_563_2021","GF04004404S","Illumina","ITS1"
"1614","NEF_GloFung-its1_570_2021","GF04004403S","Illumina","ITS1"
"1615","NEF_GloFung-its1_570_2021","GF04004402S","Illumina","ITS1"
"1616","NEF_GloFung-its1_588_2021","GF04004401S","Illumina","ITS1"
"1617","NEF_GloFung-its1_563_2021","GF04004400S","Illumina","ITS1"
"1618","NEF_GloFung-its1_589_2021","GF04001161S","Illumina","ITS1"
"1619","NEF_GloFung-its1_590_2021","GF04001158S","Illumina","ITS1"
"1620","NEF_GloFung-its1_591_2021","GF04001156S","Illumina","ITS1"
"1621","NEF_GloFung-its1_592_2021","GF04001149S","Illumina","ITS1"
"1622","NEF_GloFung-its1_592_2021","GF04001146S","Illumina","ITS1"
"1623","NEF_GloFung-its1_593_2021","GF04001145S","Illumina","ITS1"
"1624","NEF_GloFung-its1_590_2021","GF04001144S","Illumina","ITS1"
"1625","NEF_GloFung-its1_594_2021","GF04001140S","Illumina","ITS1"
"1626","NEF_GloFung-its1_590_2021","GF04001136S","Illumina","ITS1"
"1627","NEF_GloFung-its1_594_2021","GF04001134S","Illumina","ITS1"
"1628","NEF_GloFung-its1_593_2021","GF04001133S","Illumina","ITS1"
"1629","NEF_GloFung-its1_595_2021","GF04001126S","Illumina","ITS1"
"1630","NEF_GloFung-its1_589_2021","GF04001125S","Illumina","ITS1"
