PermanentID,Longitude,Latitude,continent,country
GF05026466S,-96.9036,20.1791,North America,Mexico
GF05024211S,-79.08,-3.59,South America,Ecuador
GF05024210S,-79.08,-3.59,South America,Ecuador
GF05024209S,-79.08,-3.59,South America,Ecuador
GF05024208S,-79.08,-3.59,South America,Ecuador
GF05024207S,-79.08,-3.59,South America,Ecuador
GF05024206S,-79.08,-3.59,South America,Ecuador
GF05024205S,-79.08,-3.59,South America,Ecuador
GF05023588S,-54.4439,-26.094,South America,Argentina
GF05023587S,-54.4452,-26.0949,South America,Argentina
GF05023586S,-54.4448,-26.0954,South America,Argentina
GF05023585S,-54.4418,-26.162,South America,Argentina
GF05023584S,-54.4439,-26.1621,South America,Argentina
GF05023583S,-54.4425,-26.1614,South America,Argentina
GF05023582S,-54.4414,-26.1669,South America,Argentina
GF05023581S,-54.4407,-26.1666,South America,Argentina
GF05023580S,-54.4402,-26.1658,South America,Argentina
GF05018187S,-117.094633,32.893948,North America,USA
GF05018186S,-117.094595,32.893427,North America,USA
GF05018145S,-117.249609,32.87572,North America,USA
GF05018144S,-117.249224,32.876521,North America,USA
GF05018077S,-117.228152,32.794706,North America,USA
GF05018028S,-117.249738,33.148582,North America,USA
GF05016792S,-98.73,19.55,North America,Mexico
GF05016791S,-98.73,19.55,North America,Mexico
GF05016790S,-98.73,19.55,North America,Mexico
GF05016789S,-98.73,19.55,North America,Mexico
GF05016788S,-98.73,19.55,North America,Mexico
GF05016787S,-98.73,19.55,North America,Mexico
GF05016786S,-98.73,19.55,North America,Mexico
GF05016785S,-98.73,19.55,North America,Mexico
GF05016784S,-98.73,19.55,North America,Mexico
GF05016783S,-98.73,19.55,North America,Mexico
GF05016782S,-98.73,19.55,North America,Mexico
GF05016781S,-98.73,19.55,North America,Mexico
GF05016780S,-98.73,19.55,North America,Mexico
GF05016779S,-98.73,19.55,North America,Mexico
GF05016778S,-98.73,19.55,North America,Mexico
GF05016777S,-98.73,19.55,North America,Mexico
GF05016776S,-98.73,19.55,North America,Mexico
GF05016775S,-98.73,19.55,North America,Mexico
GF05016774S,-98.73,19.55,North America,Mexico
GF05016773S,-98.73,19.55,North America,Mexico
GF05016772S,-98.73,19.55,North America,Mexico
GF05016771S,-98.73,19.55,North America,Mexico
GF05016770S,-98.73,19.55,North America,Mexico
GF05016769S,-98.73,19.55,North America,Mexico
GF05016768S,-98.73,19.55,North America,Mexico
GF05016767S,-98.73,19.55,North America,Mexico
GF05016766S,-98.73,19.55,North America,Mexico
GF05016765S,-98.73,19.55,North America,Mexico
GF05016764S,-98.73,19.55,North America,Mexico
GF05016763S,-98.73,19.55,North America,Mexico
GF05016762S,-98.73,19.55,North America,Mexico
GF05016761S,-98.73,19.55,North America,Mexico
GF05016760S,-98.73,19.55,North America,Mexico
GF05016759S,-98.73,19.55,North America,Mexico
GF05016758S,-98.73,19.55,North America,Mexico
GF05016757S,-98.73,19.55,North America,Mexico
GF05016050S,-96.3935,17.583433,North America,Mexico
GF05015579S,-72.600044,-38.660708,South America,Chile
GF05015578S,-72.600044,-38.660708,South America,Chile
GF05015577S,-72.600044,-38.660708,South America,Chile
GF05015576S,-72.60025,-38.658297,South America,Chile
GF05015575S,-72.60025,-38.658297,South America,Chile
GF05015574S,-72.60025,-38.658297,South America,Chile
GF05015573S,-72.600044,-38.660708,South America,Chile
GF05015572S,-72.600044,-38.660708,South America,Chile
GF05015571S,-72.600044,-38.660708,South America,Chile
GF05015570S,-72.60025,-38.658297,South America,Chile
